0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-0.3810818,-0.4228244,0.37011313,0.13241184,-0.19774082,-0.38259137,-0.27997,-0.15110822,0.40984875,-0.5795835,0.50094104,0.515626,0.14025362,0.34686393,0.00092700083,0.24468732,0.28579563,-0.028250746,-0.22566442,0.031718504,0.10336226,0.08479785,0.0257946,-0.10258752,-0.4821372,-0.13810928,-0.06498176,0.3680347,0.07639895,-0.16833736,-0.13181524,0.27886164,0.6498104,0.5007974,0.116246544,0.39924756,-0.6370609,0.27317923,0.06851037,-0.412135
-0.061347503,-0.4150824,0.24557047,0.2855892,-0.031834956,-0.17589884,-0.059712265,-0.032699704,0.4113219,-0.4042976,0.4724748,0.48716235,0.17949851,0.16092846,-0.19549248,0.09561756,0.13036257,-0.08513896,-0.22060068,0.09131637,0.18240522,0.23582193,-0.027743338,-0.14547028,-0.36793074,0.028291801,0.041289695,0.37890726,-0.15889528,0.07768841,-0.30719322,0.08262108,0.7083006,0.44341934,0.34155422,0.12507598,-0.6765892,0.1131768,-0.10777348,-0.35654828
-0.10373557,-0.42093208,0.26671228,0.26597977,-0.05309953,-0.20953235,-0.08764702,-0.043818727,0.41282815,-0.4318143,0.4763457,0.49768183,0.17647053,0.1887195,-0.1746699,0.11622243,0.15165193,-0.08084274,-0.22115536,0.08826449,0.1752249,0.2187178,-0.02300063,-0.14477922,-0.38294077,0.012110081,0.029863294,0.37979665,-0.13053161,0.046964567,-0.28914452,0.11192855,0.70411396,0.457364,0.31451398,0.16259146,-0.67607033,0.13843855,-0.0861082,-0.36745206
-0.3757701,-0.42100286,0.36423668,0.13927448,-0.1944276,-0.3788139,-0.2749447,-0.14875935,0.41069576,-0.57602835,0.501213,0.5156271,0.13751072,0.3435546,-0.002745282,0.24208878,0.28353786,-0.02994932,-0.22687943,0.030571274,0.10216361,0.08887573,0.027853053,-0.10331808,-0.47957045,-0.1327098,-0.065091364,0.3694655,0.071415514,-0.16367114,-0.1366838,0.27319843,0.6530048,0.5008166,0.12220856,0.3928057,-0.6377753,0.2684808,0.06461176,-0.4123879
-0.055183224,-0.4193168,0.24845722,0.2851659,-0.028640164,-0.17439875,-0.05737057,-0.030851211,0.41248766,-0.40274134,0.4723986,0.48589635,0.18406369,0.15756354,-0.19859874,0.093081065,0.1306221,-0.086733356,-0.22301072,0.09297601,0.18436795,0.2403882,-0.032250352,-0.15031311,-0.36716464,0.029706948,0.045636486,0.37978593,-0.16498643,0.08305415,-0.30981532,0.08144123,0.7096678,0.44340065,0.34598774,0.12209131,-0.6789448,0.11640706,-0.110163406,-0.3551799
-0.15491,-0.42579076,0.28992656,0.24207054,-0.07900581,-0.2477251,-0.122003146,-0.059176147,0.41404334,-0.463415,0.48129407,0.5078416,0.17161131,0.22126801,-0.14706655,0.14035945,0.17759986,-0.074468166,-0.22166868,0.08341222,0.16547938,0.19688329,-0.016111989,-0.1414614,-0.40145904,-0.0099080345,0.015120388,0.38052607,-0.09480441,0.0089966385,-0.26560366,0.1466736,0.6976577,0.47134784,0.2808023,0.20813902,-0.67366546,0.16673532,-0.05930764,-0.37936437
0.9062407,-0.915739,0.97274154,-0.9679465,0.8384499,0.6844607,0.83509713,0.87769836,-0.8471929,0.90198016,-0.98263884,0.12003997,0.96605504,-0.66528916,-0.6166519,-0.9634849,-0.71004385,-0.5789552,0.8134161,0.9552923,-0.3512143,0.086008996,-0.97384065,-0.971049,0.99728453,-0.22024462,0.8907676,-0.97119635,-0.9702676,0.6347847,0.4275775,0.56714296,-0.99910223,-0.9337854,0.4470938,-0.90051436,0.95235443,0.8312034,-0.19732669,0.92384297
0.899034,-0.9176296,0.97220653,-0.967181,0.8330833,0.67333496,0.83003426,0.8813933,-0.8503204,0.8969473,-0.9825779,0.15006939,0.966945,-0.6531017,-0.6072163,-0.9627553,-0.70738465,-0.5683929,0.8175008,0.9527238,-0.36523676,0.056934815,-0.974473,-0.9714364,0.9972029,-0.24293506,0.88858175,-0.9702817,-0.9698272,0.6171707,0.44384828,0.5896388,-0.999096,-0.9325435,0.43245053,-0.8981897,0.9527732,0.8283376,-0.18767835,0.92538285
-0.0589487,-0.42408907,0.25537482,0.2806846,-0.030483183,-0.18032363,-0.06127164,-0.031659998,0.41373417,-0.4073714,0.47306982,0.48714507,0.18723302,0.1606136,-0.19692408,0.09534955,0.13532463,-0.08718606,-0.22511755,0.093693875,0.18453003,0.24061102,-0.03503387,-0.15426856,-0.36970955,0.027566476,0.046836488,0.3806948,-0.1642043,0.08110719,-0.308254,0.08669943,0.70996535,0.4464109,0.34404615,0.12753874,-0.68084574,0.1245237,-0.10759989,-0.35638812
-0.14946358,-0.4279141,0.2906567,0.24274,-0.07621549,-0.24544917,-0.119433746,-0.05771926,0.4145534,-0.46156478,0.4809762,0.5068037,0.17427662,0.21816854,-0.14988355,0.13800776,0.17689095,-0.07556587,-0.2229155,0.08450341,0.1670443,0.20030339,-0.018920941,-0.14422628,-0.40049902,-0.008230925,0.018008742,0.38106444,-0.099673845,0.013512219,-0.2680556,0.14489445,0.6986489,0.47080556,0.28475437,0.2049183,-0.67515254,0.16750745,-0.061643034,-0.37819937
-0.081116095,-0.42610517,0.26526314,0.27107182,-0.041630223,-0.1972796,-0.07557537,-0.03760324,0.41419876,-0.42144084,0.47493914,0.4926589,0.18477124,0.17505614,-0.18604356,0.10604614,0.1458681,-0.08472688,-0.2248608,0.09184244,0.18064673,0.23126794,-0.031793382,-0.15293074,-0.3773786,0.019343665,0.040246755,0.38099754,-0.14902064,0.064884186,-0.2988705,0.10153862,0.7076158,0.4533435,0.32991466,0.14678259,-0.68017006,0.13640568,-0.09639949,-0.3620942
-0.058033556,-0.42026392,0.25053534,0.28352296,-0.030059226,-0.1770607,-0.059410177,-0.031544175,0.41273013,-0.40489617,0.47268647,0.486695,0.1842955,0.15952285,-0.19727184,0.09453733,0.1323867,-0.086565584,-0.22329487,0.092905454,0.18400557,0.23947112,-0.03234202,-0.15079786,-0.36831596,0.028586775,0.04514576,0.37995115,-0.16332087,0.081101574,-0.30864224,0.08374478,0.709494,0.44461223,0.3442524,0.12486425,-0.6791819,0.1188592,-0.10864268,-0.35596877
0.9550013,-0.89933413,0.9773553,-0.97159314,0.8793299,0.7959013,0.88614684,0.84976447,-0.8119844,0.9465315,-0.98213965,-0.20099397,0.95819503,-0.7742109,-0.68759483,-0.97060907,-0.75776696,-0.66878366,0.74727875,0.9747355,-0.2142126,0.3550261,-0.9665857,-0.96395415,0.99787486,0.0032425332,0.9132696,-0.97717917,-0.97220653,0.7942055,0.23299207,0.2339797,-0.9991961,-0.9421559,0.58102757,-0.9245996,0.9441123,0.857369,-0.28149343,0.91229725
-0.13337487,-0.42564133,0.2823876,0.25100932,-0.06805503,-0.2330508,-0.108122736,-0.052549794,0.4140247,-0.4512141,0.4793287,0.5039055,0.17511693,0.20792833,-0.15889992,0.1304065,0.1679088,-0.077566735,-0.22228274,0.08599105,0.17002639,0.20689379,-0.020411663,-0.14464833,-0.39421728,-0.0007409004,0.022272062,0.38064632,-0.110648714,0.02536316,-0.27569744,0.13329561,0.7007349,0.46639296,0.29533008,0.18993342,-0.6756413,0.1573987,-0.070351556,-0.37456337
0.5847305,-0.88483775,0.9724059,-0.9059037,0.6975775,0.5661072,0.6944325,0.9410312,-0.8328241,0.89070994,-0.9788822,0.53207356,0.9837134,-0.4302832,-0.19521922,-0.9470863,-0.7974594,-0.50400335,0.883414,0.93625677,-0.6319103,-0.5658129,-0.98067504,-0.957571,0.99321616,-0.68747234,0.88994014,-0.93228,-0.924176,0.19139536,0.69724363,0.65874726,-0.9985899,-0.938061,-0.0030840759,-0.8099054,0.94692546,0.65329176,-0.008188787,0.92753404
