0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-0.38419938,-0.3493216,-0.6927424,0.50956273,0.041138675,-0.3675482,-0.4767838,0.06634057,-0.18151304,-0.08637871,-0.43993858,-0.015122198,0.28541687,-0.13093622,0.282554,-0.52043366,-0.33435574,-0.5586777,0.18089986,0.1227396,0.61397624,-0.42782423,0.010580962,-0.33101052,0.32223237,-0.42486966,-0.28503507,0.40563977,-0.10933824,-0.7177037,0.42957217,0.15491475,0.4391617,-0.11736021,-0.15316677,0.053018436,-0.6267823,0.08983548,0.5344497,0.09927786
-0.60997474,-0.718388,-0.79822356,0.814118,0.1567981,-0.43937153,-0.7990539,0.43606836,0.03935878,0.34155914,-0.38703573,-0.6737712,0.31262612,0.46008667,0.53944594,-0.5660817,0.14401248,-0.70590556,0.50233096,0.18573977,0.7189612,0.08876307,0.13794841,-0.62537616,0.110928595,-0.72604233,-0.42203966,-0.06965602,-0.49787968,-0.6210572,0.45054725,0.10289704,0.2807357,-0.22281528,-0.19811359,0.5058375,-0.7717653,-0.35147837,0.51807195,-0.5114665
-0.57823896,-0.6821119,-0.77823526,0.7882674,0.15031998,-0.41461715,-0.764324,0.39342037,0.015107129,0.30263564,-0.38717917,-0.61742276,0.30448478,0.38820422,0.5173809,-0.55289406,0.1088036,-0.69596666,0.47063306,0.18363293,0.7029189,0.023189668,0.11114153,-0.5872658,0.119775005,-0.6878548,-0.40365842,-0.008005653,-0.4606952,-0.6256774,0.456622,0.11522239,0.2994086,-0.22516264,-0.19840153,0.45579913,-0.7502464,-0.28961995,0.50858814,-0.4374054
-0.39092585,-0.3373616,-0.68745035,0.5080981,0.033036046,-0.37270772,-0.48605308,0.083780475,-0.1879206,-0.08846431,-0.43145612,-0.011056079,0.2935085,-0.132834,0.27824113,-0.50498,-0.3490683,-0.5584863,0.18634088,0.12832443,0.6129064,-0.4365725,0.021204522,-0.33727437,0.33206043,-0.4293989,-0.27668765,0.4118875,-0.08630641,-0.71882427,0.42009342,0.15668492,0.43712848,-0.10759163,-0.16472211,0.049727093,-0.62794423,0.09357676,0.5404101,0.09911955
-0.6145328,-0.7179179,-0.797575,0.8165628,0.15598738,-0.43996847,-0.80426234,0.45057583,0.03530565,0.35083005,-0.38159448,-0.6773953,0.31443062,0.46597716,0.5412846,-0.55358815,0.14338541,-0.70770293,0.5117316,0.19248545,0.7186449,0.09010587,0.14045587,-0.6291622,0.10769024,-0.7296493,-0.41660544,-0.07367161,-0.4900848,-0.62022454,0.4460796,0.101050496,0.2682313,-0.22059801,-0.21035561,0.5099456,-0.7717783,-0.35514528,0.5167304,-0.512128
-0.543309,-0.63246983,-0.7550857,0.754097,0.13893431,-0.39017257,-0.7244355,0.3519365,-0.019915061,0.2581517,-0.3870847,-0.5387824,0.2984271,0.3004121,0.4891277,-0.52782625,0.04896536,-0.68125176,0.4381901,0.1840349,0.6838479,-0.0596292,0.078800276,-0.54140717,0.1348758,-0.64195013,-0.37574917,0.06669494,-0.40233663,-0.6348198,0.45739955,0.12687187,0.3108023,-0.22072616,-0.2057819,0.39231673,-0.7225776,-0.21904376,0.4982943,-0.33712322
-0.7165395,0.9178495,-0.8141594,0.8958625,-0.4835567,-0.81795,0.9932603,-0.75921106,-0.89297163,-0.93991274,-0.9305912,0.8903091,-0.94940704,0.9535264,-0.9348847,-0.95534366,0.8386684,0.6034682,-0.9857546,-0.98451024,0.9547901,0.53195196,0.5940419,-0.73107004,-0.18655697,0.62572265,0.27104744,-0.8907566,0.77395433,-0.9769061,0.5656276,-0.9221992,-0.93480784,0.4671267,-0.9084279,-0.73184144,-0.9679252,0.94707227,0.6927054,0.019437715
-0.7139338,0.91947955,-0.81595373,0.89457446,-0.48530102,-0.8161114,0.9934041,-0.76588273,-0.89664334,-0.9404105,-0.93137795,0.89093673,-0.94963974,0.9530622,-0.935645,-0.95560753,0.83985245,0.5956522,-0.9861942,-0.98438835,0.95557976,0.5113947,0.5914912,-0.7343532,-0.18672541,0.64549387,0.28435957,-0.8881887,0.77825975,-0.97698474,0.55597883,-0.9234649,-0.93497837,0.46868584,-0.90883243,-0.73229235,-0.96818364,0.9473792,0.68917084,0.032476947
-0.61225176,-0.7105389,-0.7929894,0.81381106,0.15411252,-0.43533733,-0.802596,0.4551533,0.026902312,0.35190368,-0.37656283,-0.67023766,0.31460276,0.4574008,0.5390347,-0.5391096,0.1359178,-0.7073109,0.51429236,0.19859387,0.7150614,0.07820637,0.13666366,-0.6251339,0.106295064,-0.72542745,-0.40816548,-0.064905904,-0.47572917,-0.62023836,0.44347155,0.10211756,0.2607355,-0.21925905,-0.22116588,0.50391555,-0.7675119,-0.3464161,0.5134191,-0.49809384
-0.54925925,-0.6348229,-0.7559453,0.7583096,0.1389461,-0.39203355,-0.73304856,0.36698845,-0.02142805,0.26956052,-0.38253897,-0.5472113,0.3010658,0.31113875,0.49334088,-0.5174854,0.049874414,-0.68315536,0.44924524,0.19069256,0.68457836,-0.054817837,0.08084415,-0.5471598,0.13173959,-0.6475945,-0.3727015,0.060203306,-0.39786884,-0.6338069,0.4537922,0.12555547,0.29975677,-0.21891774,-0.21500501,0.399225,-0.7239232,-0.2269783,0.49758708,-0.3418809
