0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-0.03305734,0.28844684,0.01626787,0.15736638,0.49727812,0.60948855,0.07917132,-0.19958994,0.07511189,0.38365304,-0.15302184,0.0060858573,0.19645126,-0.05140016,0.42330903,-0.3346542,0.14338554,-0.57330996,0.49429232,0.09405551,0.5706139,-0.01973461,-0.5258785,-0.55181766,0.013537674,0.37251332,-0.046357874,-0.17959419,-0.010222512,-0.3088468,0.3495193,-0.19736344,0.08253247,0.13276508,0.1873609,0.096478894,-0.24899097,-0.3362695,0.07184724,0.503737
-0.17423236,0.45856842,0.47264308,0.16054198,-0.12929884,0.36121562,0.22426938,-0.38121733,0.17557317,0.10690966,-0.026885474,-0.069576554,0.106420115,0.18534067,0.59279484,-0.35581493,0.083794445,-0.37946874,0.34678897,0.112404585,0.38969883,-0.081494756,-0.12117658,-0.1755015,-0.22415812,0.28713787,0.06794911,0.11041387,-0.18557304,0.049541548,0.1398979,-0.178303,-0.32231742,-0.118413605,0.21623704,-0.03178367,-0.29303586,-0.22365522,-0.120255604,0.2467131
0.2867222,-0.15953591,0.011133081,-0.01576798,0.7803346,0.5417924,-0.14527935,0.14797243,0.20258106,0.096254714,-0.099660754,-0.13163544,0.20311598,-0.0020268075,0.17460784,-0.29227537,0.12793806,-0.30001867,0.027817378,0.09463567,0.24306424,-0.31121534,-0.16211219,-0.55319774,0.04590619,-0.12414413,-0.61125827,-0.36741707,0.43827292,-0.25596967,0.41957238,-0.14440121,0.30918494,-0.059177086,0.19760822,0.001533434,-0.14031939,0.08867728,-0.4299889,-0.012379367
0.30470353,0.3095085,0.61290693,-0.31574848,-0.6161362,0.33124197,0.23022,-0.68209285,0.055314757,0.08078833,-0.18287235,0.16235879,0.19492577,0.1691721,0.6488144,0.00015430979,-0.23252353,-0.2245693,0.24667805,-0.026251948,0.30713227,-0.08628703,0.037584454,-0.14298199,-0.18710928,0.38151377,0.12213133,0.6150826,-0.44691315,0.10520789,-0.09040378,-0.16923985,-0.5822311,0.23491415,0.19912596,0.59941167,0.015050078,-0.109697774,-0.08448734,0.45934314
-0.048201587,0.4182943,0.2573341,-0.5130087,-0.9607763,0.22186306,0.8828453,-0.43635568,-0.59289914,0.56273913,0.36377454,-0.6050508,-0.003472254,-0.084106065,0.08714022,-0.1270951,-0.26240247,-0.039993778,0.5832025,-0.021350086,0.37314162,-0.017554088,-0.00093557476,-0.4941059,0.44724467,0.79053366,0.68800473,0.92911375,0.0016878401,-0.4012669,-0.1581363,-0.05034742,-0.34469584,-0.38619927,0.12241039,0.68398476,-0.079958275,-0.16267571,0.28537586,-0.26805016
0.24050438,-0.33198735,-0.07287948,0.06853578,0.8273819,0.19380744,0.07131911,0.22092906,0.3492762,0.3046617,0.11323354,-0.11482612,0.047248647,-0.16241838,-0.08967594,-0.16465533,0.27209994,-0.2524935,0.13574004,0.14149359,0.16256806,-0.0537147,0.03440513,-0.6010353,0.16787523,0.004888973,-0.5971145,-0.18123907,0.63783604,-0.40443695,0.54969966,0.09977914,0.33193567,-0.13631023,-0.18964829,0.14736196,-0.062484846,0.42048478,-0.35803825,-0.09663632
0.3002668,-0.250303,0.007764571,0.06738692,0.8109768,0.24170649,-0.039898954,0.14353392,0.22247653,0.1719895,-0.03493867,-0.12872347,0.14735796,-0.09850137,0.023979537,-0.23936062,0.28696626,-0.14162618,-0.0081163505,0.21884549,0.28823277,-0.11229892,-0.014106649,-0.58690405,-0.06265201,-0.09438847,-0.6824584,-0.20865205,0.64861923,-0.26233086,0.42156294,0.050588742,0.35853505,-0.0005696179,-0.026542125,0.120073564,-0.07609823,0.30141452,-0.3304094,-0.0798115
0.24231015,-0.67878413,0.48728666,-0.35389194,0.6144057,0.26029912,0.462958,0.6515947,-0.07891203,-0.07060736,0.55754256,-0.11253782,0.46181816,-0.5546374,0.6116421,0.16268714,0.07744635,-0.2060149,-0.57998955,-0.44027928,-0.75852275,-0.90933985,0.18010634,0.3967529,0.013375033,-0.45209548,-0.22226062,0.7405119,-0.33365166,0.4558601,-0.46266022,0.40371537,-0.69886565,0.53020597,0.00786169,-0.08507441,0.5002641,0.7658766,-0.4011954,-0.6173838
0.33655187,0.58158976,0.55293,-0.24481633,-0.5213647,0.24735159,0.43565837,-0.46318412,-0.2093207,0.3545687,0.012628185,-0.13419457,0.18308003,0.05556073,0.80033064,-0.027213078,0.06840109,-0.33137256,0.25645295,0.042037893,0.3450976,-0.4471562,0.0808042,0.2120557,-0.17684373,0.36563525,0.121401116,0.5478557,-0.5098996,0.22377656,-0.09029188,-0.24379562,-0.7034386,0.25173688,0.06858055,0.66850096,-0.12747367,-0.3241563,-0.4793725,0.24942346
0.5994556,-0.5507232,0.4809816,-0.4839383,0.07015843,0.13666381,0.6824442,0.115812115,-0.27858844,0.023571452,0.2942205,-0.19789818,-0.13109834,-0.57695997,0.49893227,0.06906816,-0.05176147,-0.26382962,-0.46654806,-0.6447415,-0.56905437,-0.8912773,0.2578067,-0.08013115,0.14046885,-0.3399201,0.061275173,0.83644265,-0.15461975,0.6473567,-0.69449323,0.36541384,-0.7184849,0.7268111,-0.18511692,0.2321841,0.6136633,0.74229646,-0.5576468,-0.82216394
