0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0.13973497,-0.29614186,-0.12457493,-0.7369083,-0.87407255,-0.016380578,0.44803423,-0.93348455,0.73574924,-0.3639854,-0.7507993,-0.013183439,-0.83722377,-0.31317264,0.9520382,0.45987067,-0.7800262,0.6008663,0.7781609,-0.86051565,-0.86453223,-0.3292728,0.8434434,0.41831627,0.46815613,-0.6108745,0.31931993,-0.64433175,0.4599147,-0.8156638,-0.7846777,0.95019543,-0.5859184,-0.25722066
-0.9519212,-0.4278837,-0.20140783,-0.675417,0.88796455,0.64771694,0.70535046,-0.56559753,-0.19612385,-0.84588903,0.38523984,-0.4448754,-0.7124846,-0.09254317,0.42588192,0.5691194,-0.76288,-0.62854195,-0.7810984,-0.8666326,-0.06963123,-0.22599338,0.73001486,0.83483505,0.68320066,-0.87000644,0.7020704,0.3762929,0.5804578,-0.88616645,0.5847574,0.31229943,-0.4557552,0.47795472
-0.8375386,-0.8173447,-0.1709552,-0.4171097,0.63213575,0.7510378,0.036149107,0.1429545,-0.18003076,-0.44971886,0.71868294,-0.37395957,0.0980223,0.050206594,-0.15094797,0.33991104,0.23791046,-0.83910364,-0.9701564,-0.3989798,0.7947121,-0.31823677,0.02495727,0.8429387,0.17802723,-0.5465839,0.27322903,0.72151315,-0.5476308,-0.7164119,0.46735528,-0.5792328,0.78909844,-0.040590882
0.44862208,-0.6668069,0.8588076,-0.76188946,-0.4723762,0.71721065,-0.65330166,0.087424435,-0.45856872,0.6464617,-0.21429977,0.13115148,0.29903936,0.4320467,-0.4396767,0.87128776,0.5457848,0.7248644,-0.49500743,0.8114368,0.88009113,0.5190518,0.64787936,-0.448222,0.3277933,0.30530044,-0.4689328,-0.8742791,-0.17029779,0.67579997,0.73160523,0.40032735,-0.71439433,-0.015927374
-0.37502286,0.18730304,-0.6141403,-0.73011965,-0.80355895,0.14968748,0.40485707,-0.4354123,0.6880327,0.4237212,-0.24473985,-0.6700748,0.53842545,-0.792411,0.5256236,0.8396467,0.49681866,-0.36233717,-0.73476624,-0.68066686,-0.11803482,-0.8030226,-0.58145624,0.65049016,-0.48566425,0.49552324,0.31425828,0.43531993,-0.72896266,-0.51288575,-0.6778277,-0.7095434,0.76494795,-0.23806651
0.19801141,-0.89784825,-0.49292794,-0.6048929,-0.5785491,-0.46658784,0.053998396,-0.7895723,0.2078004,-0.6476996,-0.7759254,0.18020666,-0.7781832,-0.1702238,0.9594284,-0.12898816,-0.79353553,0.39699548,0.7058454,-0.9113843,-0.69687814,-0.22383864,0.8137888,0.5372379,0.0011539453,-0.8488635,0.63073796,0.1906931,0.51558816,-0.818011,-0.6949261,0.91712195,-0.5055216,0.08903358
-0.20988537,0.9238736,0.58057827,0.4300263,-0.65283763,0.8529398,0.95585084,0.14605218,-0.358266,0.5626064,0.72468245,-0.7640285,-0.46813658,0.60730046,-0.1521599,-0.5682817,0.6759327,-0.17619775,0.5100357,-0.48957667,0.8965412,-0.680108,-0.7323672,-0.6362026,0.93154955,-0.36230084,0.21837598,0.16908911,0.46948108,0.30514404,-0.77127814,0.19997264,0.71436447,-0.7440031
0.899554,-0.21805337,-0.55131173,-0.38108534,-0.22498797,-0.5109607,0.043862943,-0.030318128,-0.6376931,0.61769027,-0.9331422,-0.4036195,-0.64342105,-0.5672635,-0.45122114,0.18234468,0.47083235,0.4173767,0.9441863,-0.63615453,-0.1396867,0.7121927,0.3654449,-0.9107369,-0.62501514,0.87527037,-0.25001004,-0.5794929,0.36568964,0.3260217,0.33464393,-0.28175762,-0.58025,0.93641496
-0.8444924,-0.5351067,0.25754687,-0.8328812,-0.55372214,0.40168792,0.72505033,-0.16915703,0.30688107,0.025488455,0.34058282,0.031508375,-0.42059094,-0.38691506,-0.36563104,0.834547,0.7379425,-0.6529502,-0.73390585,-0.73314214,0.14321809,-0.15772396,0.1305995,0.793816,0.64662665,0.5413876,-0.35297275,0.473159,-0.44253287,0.17206654,-0.20120095,-0.5267705,0.9151097,0.08282335
0.8992367,-0.1636406,-0.5322688,-0.4501867,-0.2594411,-0.43667266,-0.015406272,-0.1713404,-0.6413347,0.7326515,-0.91976655,-0.47426924,-0.6555367,-0.61858565,-0.59052503,0.27149016,0.4000818,0.2763364,0.9382235,-0.5878033,0.06799629,0.75728756,0.4022076,-0.92896765,-0.7017146,0.87785757,-0.26279473,-0.6422646,0.3287791,0.36230186,0.34004006,-0.3117577,-0.4876058,0.95374155
0.75293803,-0.9159772,0.73204654,-0.65197486,-0.67150575,0.7800326,-0.30608445,0.16730069,0.14470328,-0.8592416,-0.5500216,0.24729215,0.18452394,0.8856222,0.69860196,-0.4468324,0.8697554,0.6871895,-0.5091932,0.093918756,0.8292333,-0.6738788,0.19516538,-0.0069401627,0.81121993,-0.8632607,-0.02703337,-0.12766248,0.3906142,-0.29911253,-0.3136992,0.63301337,0.011374831,-0.91663206
0.9309994,-0.759617,0.63876647,-0.5182053,-0.66115654,0.63509893,-0.57880074,0.06693978,0.38085958,-0.6813605,-0.78237486,0.026930274,0.3530021,0.83711433,0.6902806,-0.3768797,0.84096193,0.82118934,-0.3678695,0.429327,0.77469397,-0.64750075,0.16078265,-0.35667014,0.5677164,-0.7601719,-0.38118124,-0.4967566,0.1340626,-0.3883152,-0.14029785,0.64053106,-0.29437235,-0.873699
0.5957638,0.2985068,0.83331627,-0.6114085,-0.39580104,0.45472127,-0.6106518,-0.15933315,0.32755113,0.8477509,0.2642295,0.11355697,0.39752683,0.33695018,-0.5940266,0.8146735,0.44666317,0.44519004,-0.79749364,0.8164982,0.6324834,0.02086411,0.3255177,0.3539655,0.6797084,0.52416044,-0.86739105,-0.90266854,-0.5216631,0.7761497,0.69319576,0.5789368,-0.5283313,-0.47964367
0.6510969,-0.2564212,0.67889225,-0.41586983,0.47234038,-0.76887524,0.60849357,0.7954558,-0.73252785,0.5920857,-0.5898559,-0.8425701,-0.12372948,0.4147323,0.80980283,0.5462259,0.4731686,0.3143408,-0.75492007,-0.549657,0.9252998,-0.6433425,-0.082921244,0.3364512,0.57225734,-0.62149143,-0.88401073,0.62567616,-0.43530002,0.021845378,0.704245,-0.32596418,0.7423725,-0.8612637
0.7595917,-0.3602359,0.7834581,-0.7122675,-0.685685,0.2765486,-0.70595104,-0.21383776,0.25912672,0.7071711,-0.21485253,-0.00021465868,0.07739857,0.34731707,-0.044259068,0.7719747,0.5066459,0.6069952,-0.6612053,0.69054264,0.49595183,0.0745741,0.41037828,0.23806673,0.52517843,0.44198114,-0.8111436,-0.8894107,-0.46513703,0.57965636,0.5130942,0.5987826,-0.48926353,-0.6636854
-0.019072095,0.6720966,0.85938,-0.56722516,0.8903307,-0.48537022,-0.3288413,-0.2618264,0.5015977,-0.77862424,0.28888723,-0.42020282,-0.9007453,0.2898356,0.49920562,0.7925916,-0.14935319,0.28100258,-0.9019498,0.4878378,0.088457674,0.30588162,0.47577417,0.55036396,0.7276756,-0.88193685,0.7902969,-0.3263935,0.2502193,-0.8006599,0.14991045,0.49858934,-0.7724564,0.2398367
0.047386307,-0.86752826,-0.6496111,-0.32121772,-0.64297426,-0.71104443,0.36916804,-0.77586687,0.13007505,-0.25386316,-0.7529563,0.38968468,-0.7807986,-0.39384183,0.94492376,-0.118948564,-0.7554765,0.2215971,0.7976632,-0.9406161,-0.81217533,-0.07639046,0.78302,0.6409377,-0.10502476,-0.58388686,0.37033695,0.509804,0.20485336,-0.6618842,-0.7367707,0.85864264,0.02037961,0.38392088
