0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.38474903,0.3656989,-0.43070203,0.3005055,0.010528207,0.3240643,-0.04179067,0.68460846,-0.58987516,-0.09532548,0.26821828,0.20278905,0.6402398,0.29403964,0.03545937,0.36558634,0.5448073,-0.22235207,-0.27188793,0.39434886,-0.48734078,0.077841066,-0.21092637,0.14460313,-0.09048809,0.626676,0.17964654,-0.31585535,-0.15521565,0.0494532,0.2669398,-0.50772333,-0.05148409,-0.18599331,-0.008250607,-0.23417975,-0.2917804,0.09801746,-0.27980146,-0.049652096
0.08450415,0.20961429,-0.32907993,-0.021314226,0.23768076,0.10744871,0.11262395,0.40289712,0.027232546,0.012289869,-0.17325237,0.319437,0.34366304,-0.061532974,0.18107015,0.08625378,-0.11845994,-0.051014386,-0.2467845,0.090686716,-0.31823635,0.25710917,0.1603496,0.30303517,0.092341654,0.047379762,0.011889514,-0.33555183,0.0883138,0.15103048,0.15937486,0.034720957,-0.30140904,0.19811018,0.06331464,0.08892753,0.12980859,0.17580236,-0.039500214,0.23746707
0.5015109,0.38832253,-0.46758363,0.33856922,-0.05989217,0.4521101,-0.12868962,0.6992443,-0.7758516,-0.20755532,0.21767247,0.09720386,0.41814983,0.4057435,0.19360934,0.5062072,0.7269172,0.085111074,-0.11689774,0.38313687,-0.40120134,0.31780374,-0.028394949,0.10021921,-0.14468361,0.7198025,-0.007960269,-0.40714183,-0.19641334,0.009622968,0.41114545,-0.523054,0.12616803,-0.38477457,-0.20658992,-0.3153014,0.20046556,0.53810763,-0.39504668,0.07150858
-0.17865029,0.11483863,-0.3732818,0.10602938,0.26551774,0.28897962,-0.13977347,0.25480682,0.65372866,0.12269692,-0.11716584,0.012732584,-0.33854812,-0.14827672,-0.3577994,-0.36128965,-0.528803,-0.34818158,0.003799195,-0.30370182,-0.25444058,0.27349076,-0.15264589,0.52338374,-0.34062734,-0.12219143,0.06626908,-0.19703978,0.2183994,-0.09915445,0.14429075,0.018228952,-0.18152393,-0.06701927,0.05684186,-0.16973983,-0.024308693,-0.27654386,0.40845248,0.3062264
-0.21674,0.06736523,-0.3586724,0.07012574,0.4739928,0.662493,0.03272982,0.4107646,0.72961545,0.4885828,-0.033553872,-0.39247882,-0.38493684,-0.36677638,0.07143389,-0.18756229,-0.74055946,-0.8506345,-0.11053038,-0.5291762,0.40996817,0.2582575,-0.40311703,0.58841974,-0.68406314,-0.032519106,0.48877072,0.10493971,-0.44340354,0.64283234,0.16571352,-0.07147133,0.25220576,-0.34666982,-0.0343196,-0.22299393,-0.49860978,-0.6057334,0.8638451,0.3294265
0.49035436,0.49458662,-0.45362753,0.3113902,-0.481331,0.6383622,-0.010918319,0.57273716,-0.7774452,-0.43658516,0.28577104,0.14689162,0.52632064,0.54924685,0.5778335,0.47396922,0.7649196,0.19769107,0.10506578,0.055422224,-0.1001711,0.45299393,-0.16811135,0.20300806,-0.31246024,0.7669485,0.101013415,-0.29820776,-0.24481677,0.2232445,0.34808138,-0.61665535,0.31735486,-0.3784447,-0.5176155,-0.47833458,0.17463502,0.49464333,-0.5825086,-0.09052931
0.3349343,0.46029806,-0.3747772,0.36903223,-0.44275182,0.60758895,0.031871904,0.5825782,-0.761089,-0.39168894,0.14116271,0.071082324,0.3770293,0.4243358,0.41790473,0.467592,0.7125524,0.13928181,0.063259,0.036545817,-0.0771719,0.4989281,-0.06394712,0.07864366,-0.29509428,0.71940124,0.07940406,-0.26240304,-0.18577291,0.094330154,0.34031412,-0.5038643,0.3424311,-0.27511707,-0.46043903,-0.35048437,0.30300233,0.4608861,-0.36980003,-0.06255048
-0.11548828,-0.6285868,0.7433225,0.43728665,-0.44832817,-0.2697794,-0.8344936,-0.6000514,0.8906382,-0.28771043,0.74255294,-0.4685281,-0.9425804,-0.40592462,-0.024808954,-0.2681977,0.048335593,0.06145942,0.3967955,-0.45213467,-0.01526014,0.09267979,0.08729203,-0.2718015,-0.54939145,-0.9183722,-0.5689468,0.09599954,-0.052757632,-0.7017948,-0.18490481,0.10032389,-0.4724318,-0.5188813,0.56942487,-0.18430775,0.41399685,-0.21777582,0.6200703,0.54221743
-0.15956947,0.21862371,-0.25380236,0.13290806,0.37877277,-0.001991026,-0.2656416,0.11028429,0.64681023,-0.030240761,-0.23617603,0.050802488,-0.10382327,-0.22581011,-0.42440426,-0.32485348,-0.36463457,-0.3566175,-0.081818126,-0.2772634,-0.25051144,0.16174479,-0.13829991,0.5283027,-0.3090447,-0.3150845,0.13111287,-0.19003122,0.20742671,-0.13549227,-0.042367667,-0.11105602,-0.43280578,-0.18646565,0.14056452,-0.048000187,-0.14230368,-0.07041393,0.31657308,0.2702407
-0.15299378,-0.23954496,0.1478605,-0.060300052,0.04217926,-0.35846364,-0.8547423,-0.09295492,0.9470623,0.014418033,0.25960782,-0.5343726,-0.7694274,-0.44445345,-0.25506938,-0.56261873,-0.6026974,-0.43298498,-0.2678491,-0.87667894,0.07464335,0.4527451,-0.47530136,0.08832187,0.056514017,-0.8207944,-0.33832988,-0.01359794,0.017667536,-0.6704621,0.12274208,0.3644604,-0.4911227,-0.36692277,0.67744756,-0.57685095,0.16054222,-0.55259866,0.64604026,0.6174233
0.34358478,0.4641022,-0.44466135,0.3992481,-0.048552115,0.36598963,-0.03518257,0.66863894,-0.75376683,-0.20271634,0.20031382,0.19389004,0.57020855,0.16425592,0.16712609,0.497507,0.6489688,-0.001652481,-0.09990745,0.37901402,-0.5360123,0.27892432,-0.08125676,0.11342689,-0.10862162,0.75889844,0.07589117,-0.40351468,-0.13184747,0.043979704,0.41641697,-0.4979325,-0.052232925,-0.25152108,-0.098088495,-0.31877103,0.008675989,0.42680508,-0.35414705,-0.058688115
-0.113366984,-0.040839873,0.10675956,-0.12391556,0.15003052,-0.12920825,-0.72152746,-0.10220642,0.9346081,0.0027308264,0.0059576463,-0.44382054,-0.80220747,-0.3922286,-0.38276666,-0.47569478,-0.6755667,-0.42451417,-0.17862405,-0.82658046,0.08215244,0.33316392,-0.387283,0.19332595,0.069641024,-0.8374423,-0.13654508,-0.11789136,0.14986818,-0.4028754,0.2979665,0.589851,-0.2813449,-0.38876712,0.572154,-0.56583345,0.119672075,-0.3538214,0.69712156,0.29659316
