Time (s)	ACALD	ACALDt	ACKr	ACONTa	ACONTb	ACt2r	ADK1	AKGDH	AKGt2r	ALCD2x	ATPM	ATPS4r	Biomass_Ecoli_core	CO2t	CS	CYTBD	D_LACt2	ENO	ETOHt2r	EX_ac_e	EX_acald_e	EX_akg_e	EX_co2_e	EX_etoh_e	EX_for_e	EX_fru_e	EX_fum_e	EX_glc__D_e	EX_gln__L_e	EX_glu__L_e	EX_h_e	EX_h2o_e	EX_lac__D_e	EX_mal__L_e	EX_nh4_e	EX_o2_e	EX_pi_e	EX_pyr_e	EX_succ_e	FBA	FBP	FORt2	FORti	FRD7	FRUpts2	FUM	FUMt2_2	G6PDH2r	GAPD	GLCpts	GLNS	GLNabc	GLUDy	GLUN	GLUSy	GLUt2r	GND	H2Ot	ICDHyr	ICL	LDH_D	MALS	MALt2_2	MDH	ME1	ME2	NADH16	NADTRHD	NH4t	O2t	PDH	PFK	PFL	PGI	PGK	PGL	PGM	PIt2r	PPC	PPCK	PPS	PTAr	PYK	PYRt2	RPE	RPI	SUCCt2_2	SUCCt3	SUCDi	SUCOAS	TALA	THD2	TKT1	TKT2	TPI	Error
0.0	0.0	0.0	0.0	1.139290688953816	1.139290688953816	0.0	0.0	1.043090156745472	0.0	0.0	8.39	7.482726784038844	0.0243885238200897	-3.413074844226037	1.139290688953816	6.769758543675261	0.0	1.3823296453781562	0.0	0.0	0.0	0.0	3.413074844226037	0.0	0.0	0.0	0.0	-0.7418234449419767	0.0	0.0	0.4892337878310021	3.5907306071410963	0.0	0.0	-0.1329857426861852	-3.3848792718376304	-0.0897180625769624	0.0	0.0	0.7175641802981343	0.0	0.0	0.0	0.0	0.0	1.1129779106043212	0.0	0.0	1.4188148770130105	0.7418234449419767	0.0062361455407969	0.0	-0.1267495971453883	0.0	0.0	0.0	0.0	-3.5907306071410963	1.0694029350949668	0.0698877538588491	0.0	0.0698877538588491	0.0	1.1828656644631703	0.0	0.0	5.656780633070939	0.6249220884738316	0.1329857426861852	3.3848792718376304	1.3005817523855976	0.7175641802981343	0.0	0.7368237975588583	-1.4188148770130105	0.0	-1.3823296453781562	0.0897180625769624	0.0	0.0	0.0	0.0	0.6278461177211709	0.0	-0.0175304709218802	-0.0175304709218802	0.0	0.0	1.1129779106043212	-1.043090156745472	-0.0043631069114136	0.0	-0.0043631069114142	-0.013167364010466	0.7175641802981343	0.0
1.0	0.0	0.0	0.0	1.1617372007106643	1.1617372007106643	0.0	0.0	1.053569013795403	0.0	0.0	8.39	7.608428893444064	0.0274225343935255	-3.4798175896167867	1.1617372007106643	6.896228795208863	0.0	1.435010982702464	0.0	0.0	0.0	0.0	3.4798175896167867	0.0	0.0	0.0	0.0	-0.7744662086667429	0.0	0.0	0.5500960399341274	3.67957429915298	0.0	0.0	-0.1495295955410159	-3.4481143976044315	-0.1008792772734615	0.0	0.0	0.7471890137055038	0.0	0.0	0.0	0.0	0.0	1.1321510283534897	0.0	0.0	1.4760350941551783	0.7744662086667429	0.0070119420444244	0.0	-0.1425176534965914	0.0	0.0	0.0	0.0	-3.67957429915298	1.0831551861525777	0.0785820145580866	0.0	0.0785820145580866	0.0	1.2107330429115764	0.0	0.0	5.764077766855373	0.583379496830575	0.1495295955410159	3.4481143976044315	1.343093389668806	0.7471890137055038	0.0	0.7688445891160701	-1.4760350941551783	0.0	-1.435010982702464	0.1008792772734615	0.0	0.0	0.0	0.0	0.6463097364320421	0.0	-0.0197113177220659	-0.0197113177220659	0.0	0.0	1.1321510283534897	-1.053569013795403	-0.0049058914030013	0.0	-0.0049058914030019	-0.014805426319064	0.7471890137055038	-4.440892098500626e-16
2.0	0.0	0.0	0.0	1.134628210734265	1.134628210734265	0.0	0.0	1.0409135404725145	0.0	0.0	8.39	7.456616564615788	0.0237583141746103	-3.399211371804649	1.134628210734265	6.743488769574765	0.0	1.3713869389785098	0.0	0.0	0.0	0.0	3.399211371804649	0.0	0.0	0.0	0.0	-0.7350430517770461	0.0	0.0	0.4765917823427041	3.5722764355781806	0.0	0.0	-0.1295493355313152	-3.3717443847873825	-0.0873997103541388	0.0	0.0	0.711410656667562	0.0	0.0	0.0	0.0	0.0	1.1089953655712776	0.0	0.0	1.4069293769837268	0.7350430517770461	0.0060750009344478	0.0	-0.1234743345968673	0.0	0.0	0.0	0.0	-3.5722764355781806	1.0665463856355013	0.0680818250987633	0.0	0.0680818250987633	0.0	1.177077190670041	0.0	0.0	5.634493404003488	0.6335511098032282	0.1295493355313152	3.3717443847873825	1.2917514456966337	0.711410656667562	0.0	0.730172597371251	-1.4069293769837268	0.0	-1.3713869389785098	0.0873997103541388	0.0	0.0	0.0	0.0	0.6240109463134234	0.0	-0.0170774762287096	-0.0170774762287096	0.0	0.0	1.1089953655712776	-1.0409135404725145	-0.0042503624058374	0.0	-0.004250362405838	-0.0128271138228716	0.711410656667562	-8.881784197001252e-16
3.0	0.0	0.0	0.0	1.1008991691279673	1.1008991691279673	0.0	0.0	1.0251675836284302	0.0	0.0	8.39	7.267731461930091	0.019199286474721	-3.298921007734324	1.1008991691279673	6.553449425281798	0.0	1.2922258186345044	0.0	0.0	0.0	0.0	3.298921007734324	0.0	0.0	0.0	0.0	-0.6859927072182188	0.0	0.0	0.3851376866828978	3.4387762901307823	0.0	0.0	-0.1046898692893588	-3.276724712640899	-0.0706284151545568	0.0	0.0	0.6668951769618141	0.0	0.0	0.0	0.0	0.0	1.0801850589503907	0.0	0.0	1.3209479512006872	0.6859927072182188	0.0049092575515861	0.0	-0.0997806117377726	0.0	0.0	0.0	0.0	-3.4387762901307823	1.0458816938060067	0.0550174753219605	0.0	0.0550174753219605	0.0	1.1352025342723513	0.0	0.0	5.473264366331407	0.6959746978042161	0.1046898692893588	3.276724712640899	1.2278717302998872	0.6668951769618141	0.0	0.682056853490901	-1.3209479512006872	0.0	-1.2922258186345044	0.0706284151545568	0.0	0.0	0.0	0.0	0.596266761807258	0.0	-0.0138004471180294	-0.0138004471180294	0.0	0.0	1.0801850589503907	-1.0251675836284302	-0.0034347523503274	0.0	-0.0034347523503276	-0.0103656947677018	0.6668951769618141	4.440892098500626e-16
4.0	0.0	0.0	0.0	1.0928326009705551	1.0928326009705551	0.0	0.0	1.0214018130035467	0.0	0.0	8.39	7.222558089602504	0.0181089587950333	-3.2749357707166835	1.0928326009705551	6.50800000690749	0.0	1.2732938080507008	0.0	0.0	0.0	0.0	3.2749357707166835	0.0	0.0	0.0	0.0	-0.6742619277864532	0.0	0.0	0.3632657134283603	3.406848670163225	0.0	0.0	-0.0987445305175575	-3.254000003453745	-0.0666174267192898	0.0	0.0	0.6562489464730342	0.0	0.0	0.0	0.0	0.0	1.073294845326594	0.0	0.0	1.3003848104080706	0.6742619277864532	0.00463046076389	0.0	-0.0941140697536675	0.0	0.0	0.0	0.0	-3.406848670163225	1.040939568647508	0.0518930323230473	0.0	0.0518930323230473	0.0	1.1251878776496411	0.0	0.0	5.434705161580896	0.7109037946080261	0.0987445305175575	3.254000003453745	1.2125943890656288	0.6562489464730342	0.0	0.6705495912334714	-1.3003848104080706	0.0	-1.2732938080507008	0.0666174267192898	0.0	0.0	0.0	0.0	0.5896315197537458	0.0	-0.0130167195818697	-0.0130167195818697	0.0	0.0	1.073294845326594	-1.0214018130035467	-0.0032396927284311	0.0	-0.0032396927284315	-0.0097770268534381	0.6562489464730342	8.881784197001252e-16
5.0	0.0	0.0	0.0	1.0944932378302208	1.0944932378302208	0.0	0.0	1.0221770593515218	0.0	0.0	8.39	7.231857777610923	0.0183334208337429	-3.279873529612666	1.0944932378302208	6.51735652357355	0.0	1.2771912764647195	0.0	0.0	0.0	0.0	3.279873529612666	0.0	0.0	0.0	0.0	-0.6766769033171688	0.0	0.0	0.3677684219248813	3.4134215003339805	0.0	0.0	-0.0999684771222335	-3.258678261786775	-0.0674431552210894	0.0	0.0	0.6584406496138449	0.0	0.0	0.0	0.0	0.0	1.0747133100926956	0.0	0.0	1.304618074031999	0.6766769033171688	0.004687855707188	0.0	-0.0952806214150454	0.0	0.0	0.0	0.0	-3.4134215003339805	1.041956987089047	0.0525362507411737	0.0	0.0525362507411737	0.0	1.1272495608338693	0.0	0.0	5.442643213480855	0.7078303923940819	0.0999684771222335	3.258678261786775	1.215739483172097	0.6584406496138449	0.0	0.6729185520462515	-1.304618074031999	0.0	-1.2771912764647195	0.0674431552210894	0.0	0.0	0.0	0.0	0.5909974943927548	0.0	-0.0131780628952944	-0.0131780628952944	0.0	0.0	1.0747133100926956	-1.0221770593515218	-0.0032798489871564	0.0	-0.0032798489871566	-0.0098982139081377	0.6584406496138449	-8.881784197001252e-16
6.0	0.0	0.0	0.0	1.1805443919101275	1.1805443919101275	0.0	0.0	1.0623489021907462	0.0	0.0	8.39	7.713750541251485	0.0299646316946079	-3.535739132676053	1.1805443919101275	7.002194043947833	0.0	1.4791509361364046	0.0	0.0	0.0	0.0	3.535739132676053	0.0	0.0	0.0	0.0	-0.8018165027926564	0.0	0.0	0.6010905117938299	3.754013495792255	0.0	0.0	-0.1633911437043584	-3.5010970219739166	-0.1102308906149553	0.0	0.0	0.772010683646031	0.0	0.0	0.0	0.0	0.0	1.1482155507748149	0.0	0.0	1.5239780251515382	0.8018165027926564	0.0076619563243112	0.0	-0.1557291873800471	0.0	0.0	0.0	0.0	-3.754013495792255	1.0946777433260588	0.0858666485840686	0.0	0.0858666485840686	0.0	1.2340821993588835	0.0	0.0	5.8539784931730185	0.5485723306918283	0.1633911437043584	3.5010970219739166	1.3787124871592482	0.772010683646031	0.0	0.7956737532952617	-1.5239780251515382	0.0	-1.4791509361364046	0.1102308906149553	0.0	0.0	0.0	0.0	0.6617797930310774	0.0	-0.0215385772620839	-0.0215385772620839	0.0	0.0	1.1482155507748149	-1.0623489021907462	-0.0053606726101648	0.0	-0.0053606726101656	-0.0161779046519182	0.772010683646031	-6.661338147750939e-16
7.0	0.0	0.0	0.0	1.2967853542571544	1.2967853542571544	0.0	0.0	1.1166144576131505	0.0	0.0	8.39	8.364708441730441	0.0456764853958687	-3.881371498094096	1.2967853542571544	7.657129826655865	0.0	1.7519652341726055	0.0	0.0	0.0	0.0	3.881371498094096	0.0	0.0	0.0	0.0	-0.9708595287263304	0.0	0.0	0.9162702970411248	4.2140972883117644	0.0	0.0	-0.249064739566593	-3.828564913327933	-0.1680300868257822	0.0	0.0	0.925425128703061	0.0	0.0	0.0	0.0	0.0	1.2475049941635517	0.0	0.0	1.820297256324825	0.9708595287263304	0.0116794773157236	0.0	-0.2373852622508693	0.0	0.0	0.0	0.0	-4.2140972883117644	1.165894817706753	0.1308905365504014	0.0	0.1308905365504014	0.0	1.378395530713953	0.0	0.0	6.409624832492313	0.3334408713670453	0.249064739566593	3.828564913327933	1.5988622227741929	0.925425128703061	0.0	0.9614958492201774	-1.820297256324825	0.0	-1.7519652341726055	0.1680300868257822	0.0	0.0	0.0	0.0	0.7573950418772795	0.0	-0.0328322577025501	-0.0328322577025501	0.0	0.0	1.2475049941635517	-1.1166144576131505	-0.0081715232373202	0.0	-0.0081715232373211	-0.0246607344652289	0.925425128703061	0.0
8.0	0.0	0.0	0.0	1.3046470590502972	1.3046470590502972	0.0	0.0	1.120284590486734	0.0	0.0	8.39	8.40873456421772	0.0467391224650939	-3.904747591762008	1.3046470590502972	7.701424984560225	0.0	1.770416436151698	0.0	0.0	0.0	0.0	3.904747591762008	0.0	0.0	0.0	0.0	-0.9822923863042178	0.0	0.0	0.9375867966497804	4.245214055446736	0.0	0.0	-0.2548590869776642	-3.850712492280112	-0.1719392098123381	0.0	0.0	0.93580098118819	0.0	0.0	0.0	0.0	0.0	1.2542202198227073	0.0	0.0	1.8403381633594784	0.9822923863042178	0.0119511936143245	0.0	-0.2429078933633396	0.0	0.0	0.0	0.0	-4.245214055446736	1.170711429714324	0.1339356293359732	0.0	0.1339356293359732	0.0	1.3881558491586805	0.0	0.0	6.447204764737517	0.3188909227879871	0.2548590869776642	3.850712492280112	1.6137515715609496	0.93580098118819	0.0	0.9727108661988736	-1.8403381633594784	0.0	-1.770416436151698	0.1719392098123381	0.0	0.0	0.0	0.0	0.7638617713758498	0.0	-0.0335960812279092	-0.0335960812279092	0.0	0.0	1.2542202198227073	-1.120284590486734	-0.0083616290090046	0.0	-0.0083616290090055	-0.0252344522189036	0.93580098118819	0.0
9.0	0.0	0.0	0.0	1.30691633557844	1.30691633557844	0.0	0.0	1.121343972211733	0.0	0.0	8.39	8.42144267893511	0.0470458520387139	-3.911495087639306	1.30691633557844	7.714210756194697	0.0	1.7757423648998365	0.0	0.0	0.0	0.0	3.911495087639306	0.0	0.0	0.0	0.0	-0.985592474012132	0.0	0.0	0.9437397918966112	4.254195892230111	0.0	0.0	-0.2565316219966992	-3.857105378097348	-0.1730675758948159	0.0	0.0	0.9387959649892242	0.0	0.0	0.0	0.0	0.0	1.2561585658138716	0.0	0.0	1.8461229595497524	0.985592474012132	0.0120296243662991	0.0	-0.2445019976304001	0.0	0.0	0.0	0.0	-4.254195892230111	1.1721017419763016	0.1348145936021385	0.0	0.1348145936021385	0.0	1.3909731594160102	0.0	0.0	6.458052190380825	0.3146910885707403	0.2565316219966992	3.857105378097348	1.618049373451271	0.9387959649892242	0.0	0.9759480743441956	-1.8461229595497524	0.0	-1.7757423648998365	0.1730675758948159	0.0	0.0	0.0	0.0	0.765728389094408	0.0	-0.0338165584454272	-0.0338165584454272	0.0	0.0	1.2561585658138716	-1.121343972211733	-0.0084165029297254	0.0	-0.0084165029297261	-0.0254000555157011	0.9387959649892242	0.0
