Time (s)	ACALD	ACALDt	ACKr	ACONTa	ACONTb	ACt2r	ADK1	AKGDH	AKGt2r	ALCD2x	ATPM	ATPS4r	Biomass_Ecoli_core	CO2t	CS	CYTBD	D_LACt2	ENO	ETOHt2r	EX_ac_e	EX_acald_e	EX_akg_e	EX_co2_e	EX_etoh_e	EX_for_e	EX_fru_e	EX_fum_e	EX_glc__D_e	EX_gln__L_e	EX_glu__L_e	EX_h_e	EX_h2o_e	EX_lac__D_e	EX_mal__L_e	EX_nh4_e	EX_o2_e	EX_pi_e	EX_pyr_e	EX_succ_e	FBA	FBP	FORt2	FORti	FRD7	FRUpts2	FUM	FUMt2_2	G6PDH2r	GAPD	GLCpts	GLNS	GLNabc	GLUDy	GLUN	GLUSy	GLUt2r	GND	H2Ot	ICDHyr	ICL	LDH_D	MALS	MALt2_2	MDH	ME1	ME2	NADH16	NADTRHD	NH4t	O2t	PDH	PFK	PFL	PGI	PGK	PGL	PGM	PIt2r	PPC	PPCK	PPS	PTAr	PYK	PYRt2	RPE	RPI	SUCCt2_2	SUCCt3	SUCDi	SUCOAS	TALA	THD2	TKT1	TKT2	TPI	Error
0.0	0.0	0.0	0.0	1.0633283439393986	1.0633283439393986	0.0	0.0	1.0076281409451435	0.0	0.0	8.39	7.057332089882578	0.0141209793368626	-3.1872074351826347	1.0633283439393986	6.341764341942574	0.0	1.2040481393250355	0.0	0.0	0.0	0.0	3.1872074351826347	0.0	0.0	0.0	0.0	-0.6313554618920816	0.0	0.0	0.2832668454974727	3.290070297064074	0.0	0.0	-0.0769988761280445	-3.170882170971287	-0.0519468466865134	0.0	0.0	0.6173093237457048	0.0	0.0	0.0	0.0	0.0	1.0480932193328574	0.0	0.0	1.225173124412982	0.6313554618920816	0.0036107344164357	0.0	-0.0733881417116087	0.0	0.0	0.0	0.0	-3.290070297064074	1.022863265551685	0.0404650783877136	0.0	0.0404650783877136	0.0	1.088558297720571	0.0	0.0	5.293671122609717	0.7655084171373635	0.0769988761280445	3.170882170971287	1.1567160286858056	0.6173093237457048	0.0	0.6284606611280248	-1.225173124412982	0.0	-1.2040481393250355	0.0519468466865134	0.0	0.0	0.0	0.0	0.5653624770591885	0.0	-0.0101501599473367	-0.0101501599473367	0.0	0.0	1.0480932193328574	-1.0076281409451435	-0.0025262432033644	0.0	-0.0025262432033648	-0.0076239167439719	0.6173093237457048	0.0
1.0	0.0	0.0	0.0	1.0835360436696508	1.0835360436696508	0.0	0.0	1.0170618382195826	0.0	0.0	8.39	7.170496688009732	0.0168523781087763	-3.247293268234957	1.0835360436696508	6.4556204678068	0.0	1.2514750472370402	0.0	0.0	0.0	0.0	3.247293268234957	0.0	0.0	0.0	0.0	-0.6607424408071644	0.0	0.0	0.3380587048620423	3.3700527313305275	0.0	0.0	-0.0918926473515356	-3.2278102339034	-0.061994843348755	0.0	0.0	0.6439793803023651	0.0	0.0	0.0	0.0	0.0	1.065354012928092	0.0	0.0	1.2766862048877694	0.6607424408071644	0.0043091530824141	0.0	-0.0875834942691215	0.0	0.0	0.0	0.0	-3.3700527313305275	1.0352438689611414	0.0482921747085094	0.0	0.0482921747085094	0.0	1.1136461876366015	0.0	0.0	5.390266454878708	0.7281092779286924	0.0918926473515356	3.2278102339034	1.1949875610542326	0.6439793803023651	0.0	0.6572877032948652	-1.2766862048877694	0.0	-1.2514750472370402	0.061994843348755	0.0	0.0	0.0	0.0	0.5819845369536099	0.0	-0.0121134893845883	-0.0121134893845883	0.0	0.0	1.065354012928092	-1.0170618382195826	-0.0030148904436598	0.0	-0.0030148904436602	-0.009098598940928	0.6439793803023651	0.0
2.0	0.0	0.0	0.0	1.0766334115914804	1.0766334115914804	0.0	0.0	1.0138394357546052	0.0	0.0	8.39	7.131841442951022	0.0159193752913868	-3.226768893654626	1.0766334115914804	6.416729007760508	0.0	1.2352747621827378	0.0	0.0	0.0	0.0	3.226768893654626	0.0	0.0	0.0	0.0	-0.6507043114778726	0.0	0.0	0.3193426683452167	3.3427319910272075	0.0	0.0	-0.086805169588874	-3.208364503880254	-0.0585626058844251	0.0	0.0	0.6348693088755307	0.0	0.0	0.0	0.0	0.0	1.0594579975896032	0.0	0.0	1.2590901476186525	0.6507043114778726	0.0040705842620076	0.0	-0.0827345853268664	0.0	0.0	0.0	0.0	-3.3427319910272075	1.0310148497564824	0.045618561834998	0.0	0.045618561834998	0.0	1.1050765594246013	0.0	0.0	5.357271010170905	0.7408842350709577	0.086805169588874	3.208364503880254	1.1819146081435383	0.6348693088755307	0.0	0.6474408395431382	-1.2590901476186525	0.0	-1.2352747621827378	0.0585626058844251	0.0	0.0	0.0	0.0	0.5763067029911063	0.0	-0.0114428469594487	-0.0114428469594487	0.0	0.0	1.0594579975896032	-1.0138394357546052	-0.0028479762396287	0.0	-0.0028479762396292	-0.0085948707198194	0.6348693088755307	0.0
3.0	0.0	0.0	0.0	1.1638855953274256	1.1638855953274256	0.0	0.0	1.0545719633993216	0.0	0.0	8.39	7.620460060606568	0.0277129248138177	-3.4862056536714	1.1638855953274256	6.90833348258829	0.0	1.4400532049745642	0.0	0.0	0.0	0.0	3.4862056536714	0.0	0.0	0.0	0.0	-0.777590504264303	0.0	0.0	0.5559212717651931	3.688077683185173	0.0	0.0	-0.1511130364247855	-3.454166741294145	-0.1019475365125899	0.0	0.0	0.7500244579519992	0.0	0.0	0.0	0.0	0.0	1.1339861207457975	0.0	0.0	1.4815117404960356	0.777590504264303	0.0070861948748932	0.0	-0.1440268415498923	0.0	0.0	0.0	0.0	-3.688077683185173	1.0844714379809497	0.0794141573464761	0.0	0.0794141573464761	0.0	1.213400278092274	0.0	0.0	5.7743473618424925	0.5794033832491207	0.1511130364247855	3.454166741294145	1.3471622522911284	0.7500244579519992	0.0	0.7719093546774703	-1.4815117404960356	0.0	-1.4400532049745642	0.1019475365125899	0.0	0.0	0.0	0.0	0.6480769214394084	0.0	-0.019920050356172	-0.019920050356172	0.0	0.0	1.1339861207457975	-1.0545719633993216	-0.0049578422491916	0.0	-0.0049578422491921	-0.0149622081069798	0.7500244579519992	1.3322676295501878e-15
4.0	0.0	0.0	0.0	1.1246060462494567	1.1246060462494567	0.0	0.0	1.036234825574412	0.0	0.0	8.39	7.400491709663122	0.0224036558942945	-3.369411339633962	1.1246060462494567	6.687020946109137	0.0	1.3478651983328702	0.0	0.0	0.0	0.0	3.369411339633962	0.0	0.0	0.0	0.0	-0.7204683530072684	0.0	0.0	0.4494173372395484	3.532608530630361	0.0	0.0	-0.1221626548604092	-3.3435104730545686	-0.0824163289383401	0.0	0.0	0.6981834364892143	0.0	0.0	0.0	0.0	0.0	1.1004347419051024	0.0	0.0	1.3813810675507348	0.7204683530072684	0.0057286148121711	0.0	-0.1164340400482381	0.0	0.0	0.0	0.0	-3.532608530630361	1.0604061299187664	0.0641999163306903	0.0	0.0641999163306903	0.0	1.1646346582357927	0.0	0.0	5.586586204204035	0.6520995012452485	0.1221626548604092	3.3435104730545686	1.2727703841407842	0.6981834364892143	0.0	0.7158756035489381	-1.3813810675507348	0.0	-1.3478651983328702	0.0824163289383401	0.0	0.0	0.0	0.0	0.6157671075508734	0.0	-0.0161037478568187	-0.0161037478568187	0.0	0.0	1.1004347419051024	-1.036234825574412	-0.0040080140394889	0.0	-0.0040080140394894	-0.0120957338173293	0.6981834364892143	-8.881784197001252e-16
5.0	0.0	0.0	0.0	1.173271646639624	1.173271646639624	0.0	0.0	1.0589537172784664	0.0	0.0	8.39	7.673022635215472	0.0289816020689967	-3.514114258791901	1.173271646639624	6.961217257279868	0.0	1.462082005737798	0.0	0.0	0.0	0.0	3.514114258791901	0.0	0.0	0.0	0.0	-0.7912401376065147	0.0	0.0	0.5813709375040867	3.7252278409033006	0.0	0.0	-0.1580308797618254	-3.480608628639934	-0.1066146195312176	0.0	0.0	0.7624121380284847	0.0	0.0	0.0	0.0	0.0	1.1420033961673834	0.0	0.0	1.5054384824330171	0.7912401376065147	0.0074105956490424	0.0	-0.150620284112783	0.0	0.0	0.0	0.0	-3.7252278409033006	1.090221967750707	0.083049678888917	0.0	0.083049678888917	0.0	1.2250530750563005	0.0	0.0	5.819213861112485	0.5620322700432412	0.1580308797618254	3.480608628639934	1.3649385737627278	0.7624121380284847	0.0	0.7852989091823703	-1.5054384824330171	0.0	-1.462082005737798	0.1066146195312176	0.0	0.0	0.0	0.0	0.6557975184972671	0.0	-0.0208319755671946	-0.0208319755671946	0.0	0.0	1.1420033961673834	-1.0589537172784664	-0.0051848086101429	0.0	-0.0051848086101437	-0.0156471669570508	0.7624121380284847	2.220446049250313e-16
6.0	0.0	0.0	0.0	1.1513211881075147	1.1513211881075147	0.0	0.0	1.0487064361138	0.0	0.0	8.39	7.550098460190541	0.0260146411443058	-3.44884648440946	1.1513211881075147	6.837541915565055	0.0	1.4105648915028663	0.0	0.0	0.0	0.0	3.44884648440946	0.0	0.0	0.0	0.0	-0.7593187576043274	0.0	0.0	0.5218537013547875	3.638347536361039	0.0	0.0	-0.141852635231671	-3.418770957782528	-0.0957000603775545	0.0	0.0	0.7334419940580872	0.0	0.0	0.0	0.0	0.0	1.123253991776923	0.0	0.0	1.449482794654748	0.7593187576043274	0.006651943740599	0.0	-0.135200691491072	0.0	0.0	0.0	0.0	-3.638347536361039	1.0767736324443915	0.0745475556631229	0.0	0.0745475556631229	0.0	1.197801547440046	0.0	0.0	5.714287923788132	0.6026567975894171	0.141852635231671	3.418770957782528	1.3233664158512677	0.7334419940580872	0.0	0.7539857561697447	-1.449482794654748	0.0	-1.4105648915028663	0.0957000603775545	0.0	0.0	0.0	0.0	0.6377419336805298	0.0	-0.0186993240545268	-0.0186993240545268	0.0	0.0	1.123253991776923	-1.0487064361138	-0.0046540193007159	0.0	-0.0046540193007165	-0.0140453047538103	0.7334419940580872	-4.440892098500626e-16
7.0	0.0	0.0	0.0	1.2000586003104536	1.2000586003104536	0.0	0.0	1.0714588522125883	0.0	0.0	8.39	7.823031537152583	0.032602293851658	-3.5937629297307394	1.2000586003104536	7.112142835617676	0.0	1.5249502392303815	0.0	0.0	0.0	0.0	3.5937629297307394	0.0	0.0	0.0	0.0	-0.830194974289162	0.0	0.0	0.6540020146642574	3.831251079063757	0.0	0.0	-0.1777737879143211	-3.556071417808838	-0.1199340583920936	0.0	0.0	0.7977654725949181	0.0	0.0	0.0	0.0	0.0	1.1648839854738997	0.0	0.0	1.573723270832462	0.830194974289162	0.0083364065378689	0.0	-0.1694373813764521	0.0	0.0	0.0	0.0	-3.831251079063757	1.1066334670491422	0.0934251332613114	0.0	0.0934251332613114	0.0	1.2583091187352111	0.0	0.0	5.947258850143776	0.5124566616026739	0.1777737879143211	3.556071417808838	1.4156706104690089	0.7977654725949181	0.0	0.8235115040495721	-1.573723270832462	0.0	-1.5249502392303815	0.1199340583920936	0.0	0.0	0.0	0.0	0.6778314142028238	0.0	-0.0234345288205717	-0.0234345288205717	0.0	0.0	1.1648839854738997	-1.0714588522125883	-0.0058325503700614	0.0	-0.0058325503700617	-0.0176019784505099	0.7977654725949181	0.0
8.0	0.0	0.0	0.0	1.2160043857611682	1.2160043857611682	0.0	0.0	1.0789029311900675	0.0	0.0	8.39	7.912329103250637	0.0347576256993536	-3.6411763323084423	1.2160043857611682	7.20198608247484	0.0	1.5623745531429378	0.0	0.0	0.0	0.0	3.6411763323084423	0.0	0.0	0.0	0.0	-0.8533840787928801	0.0	0.0	0.6972379715290362	3.894364780952814	0.0	0.0	-0.1895263814134353	-3.60099304123742	-0.1278628776602115	0.0	0.0	0.8188106685097342	0.0	0.0	0.0	0.0	0.0	1.1785043833941355	0.0	0.0	1.6143719611891707	0.8533840787928801	0.0088875248913247	0.0	-0.1806388565221106	0.0	0.0	0.0	0.0	-3.894364780952814	1.1164029335571004	0.0996014522040678	0.0	0.0996014522040678	0.0	1.2781058355982031	0.0	0.0	6.023481699080705	0.4829452051863808	0.1895263814134353	3.60099304123742	1.4458704675612744	0.8188106685097342	0.0	0.8462587655245126	-1.6143719611891707	0.0	-1.5623745531429378	0.1278628776602115	0.0	0.0	0.0	0.0	0.6909477908495231	0.0	-0.024983781352695	-0.024983781352695	0.0	0.0	1.1785043833941355	-1.0789029311900675	-0.0062181392376137	0.0	-0.0062181392376146	-0.0187656421150804	0.8188106685097342	-6.661338147750939e-16
9.0	0.0	0.0	0.0	1.2677630355875853	1.2677630355875853	0.0	0.0	1.1030657721028874	0.0	0.0	8.39	8.202181332123649	0.0417536477334764	-3.795076164253581	1.2677630355875853	7.493609544217818	0.0	1.683850661345998	0.0	0.0	0.0	0.0	3.795076164253581	0.0	0.0	0.0	0.0	-0.9286539200625892	0.0	0.0	0.8375781735335455	4.099226435803316	0.0	0.0	-0.2276742903611002	-3.746804772108909	-0.1535991439171394	0.0	0.0	0.8871215666621006	0.0	0.0	0.0	0.0	0.0	1.2227150250479375	0.0	0.0	1.7463141183552788	0.9286539200625892	0.0106764077254499	0.0	-0.2169978826356503	0.0	0.0	0.0	0.0	-4.099226435803316	1.1481137826425352	0.1196492529450501	0.0	0.1196492529450501	0.0	1.3423642779929876	0.0	0.0	6.270894519169881	0.3871535526999272	0.2276742903611002	3.746804772108909	1.5438966095081583	0.8871215666621006	0.0	0.9200944222772264	-1.7463141183552788	0.0	-1.683850661345998	0.1535991439171394	0.0	0.0	0.0	0.0	0.7335224227449615	0.0	-0.0300125219908227	-0.0300125219908227	0.0	0.0	1.2227150250479375	-1.1030657721028874	-0.0074697275795186	0.0	-0.007469727579519	-0.0225427944113036	0.8871215666621006	-4.440892098500626e-16
