cluster
1,1
10,1
100,1
101,2
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
11,1
110,1
111,1
112,1
113,1
114,2
115,1
116,1
117,1
118,1
119,1
12,1
120,1
121,1
122,1
123,1
124,1
125,1
126,2
127,1
128,2
129,1
13,2
130,1
131,2
132,2
133,1
134,1
135,1
136,1
137,1
138,2
139,1
14,1
140,1
141,1
142,2
143,1
144,1
145,1
146,1
147,2
148,2
149,1
15,2
150,2
151,2
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,2
16,2
160,1
161,1
162,1
163,1
164,1
165,1
166,2
167,1
168,2
169,1
17,1
170,2
171,1
172,2
173,2
174,1
175,1
176,1
177,2
178,1
179,2
18,1
180,2
181,1
182,1
183,1
184,1
185,2
186,1
187,1
188,2
189,1
19,1
190,2
191,1
192,1
193,2
194,2
195,1
196,1
197,1
198,1
199,1
2,1
20,2
200,1
201,1
202,1
203,2
204,1
205,1
206,2
207,1
208,2
209,1
21,1
210,1
211,1
212,1
213,1
214,2
215,1
216,1
217,2
218,1
219,1
22,1
220,1
221,1
222,2
223,1
224,1
225,2
226,1
227,1
228,2
229,1
23,1
230,1
231,1
232,1
233,1
234,1
235,2
236,1
237,2
238,2
239,1
24,1
240,2
241,1
242,1
243,1
244,1
245,1
246,2
247,1
248,2
249,1
25,2
250,1
251,1
252,1
253,1
254,1
255,1
256,2
257,1
258,1
259,1
26,1
260,1
261,1
262,1
263,2
264,1
265,1
266,2
267,1
268,2
269,1
27,2
270,1
271,1
272,2
273,1
274,1
275,1
276,1
277,1
278,1
279,2
28,1
280,1
281,2
282,1
283,1
284,1
285,2
286,1
287,2
288,1
289,1
29,1
290,1
291,1
292,2
293,1
294,1
295,1
296,1
297,1
298,1
299,1
3,1
30,1
300,1
301,1
302,2
303,1
304,1
305,2
306,1
307,2
308,2
309,2
31,2
310,1
311,1
312,1
313,1
314,1
315,2
316,1
317,1
318,1
319,2
32,1
320,1
321,1
322,2
323,1
324,1
325,1
326,1
327,1
328,1
329,1
33,1
330,1
331,1
332,1
333,2
334,2
335,1
336,1
337,2
338,2
339,2
34,1
340,2
341,1
342,1
343,1
344,2
345,1
346,1
347,1
348,1
349,1
35,2
350,1
351,1
352,2
353,1
354,2
355,2
356,1
357,2
358,1
359,2
36,1
360,1
361,2
362,1
363,2
364,2
365,1
366,1
367,1
368,1
369,2
37,1
370,2
371,1
372,1
373,2
374,1
375,1
376,2
377,1
378,2
379,1
38,1
380,1
381,2
382,1
383,2
384,1
385,1
386,2
387,1
388,1
389,1
39,1
390,1
391,2
392,2
393,1
394,1
395,1
396,1
397,1
398,1
399,1
4,1
40,1
400,1
401,1
402,2
403,2
404,2
405,1
406,1
407,2
408,2
409,2
41,1
410,2
411,1
412,1
413,2
414,1
415,1
416,1
417,1
418,2
419,1
42,1
420,1
421,1
422,1
423,1
424,1
425,2
426,1
427,1
428,2
429,1
43,1
430,1
431,1
432,1
433,2
434,1
435,1
436,2
437,2
438,1
439,2
44,1
440,1
441,2
442,2
443,1
444,1
445,1
446,1
447,2
448,1
449,2
45,1
450,1
451,1
452,1
453,2
454,1
455,2
456,1
457,1
458,1
459,1
46,2
460,2
461,1
462,1
463,1
464,1
465,1
466,1
467,2
468,1
469,2
47,1
470,1
471,1
472,1
473,1
474,1
475,1
476,2
477,1
478,2
479,2
48,2
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,2
49,2
490,1
491,1
492,2
493,1
494,1
495,1
496,1
497,1
498,1
499,1
5,1
50,1
500,1
501,2
502,2
503,2
504,1
505,1
506,2
507,1
508,1
509,1
51,1
510,1
511,2
512,2
513,1
514,1
515,1
516,1
517,1
518,2
519,2
52,1
520,2
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
53,1
530,1
531,1
532,1
533,1
534,1
535,1
536,2
537,2
538,1
539,2
54,2
540,1
541,1
542,1
543,2
544,1
545,2
546,1
547,1
548,1
549,2
55,2
550,1
551,1
552,2
553,1
554,1
555,1
556,1
557,1
558,1
559,1
56,1
560,1
561,1
562,2
563,1
564,1
565,1
566,1
567,1
568,1
569,1
57,1
570,1
571,1
572,1
573,2
574,2
575,1
576,2
577,1
578,1
579,1
58,2
580,2
581,1
582,1
583,2
584,2
585,1
586,1
587,1
588,2
589,2
59,1
590,1
591,1
592,1
593,1
594,1
595,2
596,2
597,1
598,1
599,1
6,1
60,1
600,1
601,2
602,1
603,1
604,2
605,2
606,2
607,1
608,2
609,1
61,2
610,1
611,1
612,2
613,1
614,1
615,1
616,1
617,1
618,1
619,1
62,1
620,1
621,1
622,1
623,2
624,1
625,1
626,2
627,1
628,2
629,1
63,2
630,1
631,1
632,1
633,1
634,2
635,1
636,1
637,1
638,2
639,1
64,2
640,1
641,1
642,1
643,2
644,1
645,1
646,2
647,1
648,1
649,1
65,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
66,2
660,1
661,1
662,1
663,2
664,1
665,1
666,2
667,1
668,2
669,1
67,1
670,2
671,1
672,1
673,2
674,2
675,1
676,1
677,1
678,1
679,1
68,2
680,1
681,2
682,1
683,1
684,2
685,2
686,2
687,1
688,1
689,2
69,2
690,1
691,1
692,1
693,2
694,1
695,1
696,1
697,2
698,1
699,1
7,2
70,1
700,1
701,1
702,1
703,1
704,2
705,1
706,2
707,1
708,2
709,1
71,1
710,1
711,1
712,1
713,1
714,2
715,1
716,1
717,1
718,2
719,1
72,2
720,2
721,1
722,1
723,1
724,2
725,1
726,1
727,1
728,1
729,1
73,1
730,2
731,2
732,1
733,1
734,1
735,1
736,1
737,2
738,2
739,1
74,1
740,1
741,1
742,1
743,2
744,1
745,1
746,2
747,1
748,1
749,2
75,1
750,1
751,1
752,1
76,2
77,2
78,1
79,1
8,2
80,1
81,1
82,1
83,1
84,2
85,2
86,2
87,1
88,2
89,1
9,1
90,1
91,2
92,1
93,1
94,1
95,1
96,1
