0,2,1,3
0.0,1.0,6.0,1.0
2.0,3.0,7.0,58.0
4.0,5.0,11.0,60.0
9.0,8.0,17.0,61.0
10.0,13.0,20.0,62.0
12.0,15.0,26.0,63.0
14.0,32.0,28.0,64.0
16.0,37.0,29.0,72.0
18.0,43.0,31.0,80.0
19.0,49.0,34.0,82.0
21.0,55.0,38.0,90.0
22.0,67.0,39.0,99.0
23.0,71.0,47.0,
24.0,77.0,51.0,
25.0,86.0,54.0,
27.0,95.0,57.0,
30.0,96.0,60.0,
33.0,97.0,61.0,
35.0,9.0,62.0,
36.0,10.0,63.0,
40.0,12.0,69.0,
41.0,18.0,70.0,
42.0,21.0,72.0,
44.0,23.0,75.0,
45.0,41.0,76.0,
46.0,44.0,80.0,
48.0,53.0,82.0,
50.0,56.0,90.0,
52.0,66.0,92.0,
53.0,78.0,99.0,
56.0,79.0,1.0,
58.0,81.0,2.0,
59.0,83.0,5.0,
64.0,85.0,6.0,
65.0,93.0,7.0,
66.0,100.0,8.0,
68.0,0.0,11.0,
73.0,4.0,13.0,
74.0,9.0,14.0,
78.0,10.0,15.0,
79.0,18.0,17.0,
81.0,21.0,20.0,
83.0,22.0,25.0,
84.0,23.0,26.0,
85.0,36.0,28.0,
87.0,41.0,29.0,
88.0,44.0,37.0,
89.0,48.0,38.0,
91.0,53.0,39.0,
93.0,56.0,43.0,
94.0,59.0,52.0,
98.0,66.0,54.0,
100.0,73.0,57.0,
0.0,74.0,60.0,
3.0,78.0,61.0,
4.0,79.0,62.0,
9.0,81.0,63.0,
10.0,83.0,69.0,
12.0,84.0,70.0,
16.0,85.0,72.0,
18.0,87.0,75.0,
19.0,91.0,76.0,
21.0,93.0,80.0,
22.0,100.0,82.0,
23.0,,90.0,
24.0,,92.0,
27.0,,94.0,
30.0,,95.0,
31.0,,97.0,
32.0,,99.0,
33.0,,0.0,
34.0,,1.0,
35.0,,2.0,
36.0,,4.0,
40.0,,5.0,
41.0,,6.0,
42.0,,11.0,
44.0,,14.0,
45.0,,16.0,
46.0,,19.0,
47.0,,22.0,
48.0,,24.0,
49.0,,25.0,
50.0,,26.0,
51.0,,27.0,
53.0,,30.0,
55.0,,31.0,
56.0,,32.0,
58.0,,33.0,
59.0,,35.0,
64.0,,36.0,
65.0,,40.0,
66.0,,42.0,
67.0,,45.0,
68.0,,46.0,
71.0,,47.0,
73.0,,48.0,
74.0,,50.0,
77.0,,51.0,
78.0,,52.0,
79.0,,54.0,
81.0,,55.0,
83.0,,58.0,
84.0,,59.0,
85.0,,62.0,
86.0,,64.0,
87.0,,65.0,
88.0,,67.0,
89.0,,68.0,
91.0,,71.0,
93.0,,73.0,
96.0,,74.0,
98.0,,75.0,
100.0,,80.0,
3.0,,84.0,
7.0,,86.0,
8.0,,87.0,
13.0,,88.0,
15.0,,89.0,
17.0,,90.0,
20.0,,91.0,
28.0,,94.0,
29.0,,96.0,
34.0,,98.0,
37.0,,0.0,
38.0,,3.0,
39.0,,4.0,
43.0,,7.0,
49.0,,9.0,
57.0,,10.0,
60.0,,12.0,
61.0,,14.0,
63.0,,18.0,
69.0,,19.0,
70.0,,21.0,
72.0,,22.0,
76.0,,23.0,
77.0,,27.0,
82.0,,34.0,
92.0,,36.0,
95.0,,37.0,
97.0,,40.0,
99.0,,41.0,
1.0,,42.0,
2.0,,44.0,
5.0,,45.0,
6.0,,48.0,
8.0,,49.0,
11.0,,51.0,
13.0,,53.0,
15.0,,56.0,
16.0,,59.0,
17.0,,64.0,
20.0,,66.0,
24.0,,67.0,
25.0,,69.0,
26.0,,73.0,
28.0,,74.0,
29.0,,78.0,
30.0,,79.0,
31.0,,81.0,
32.0,,83.0,
33.0,,84.0,
35.0,,85.0,
38.0,,87.0,
39.0,,89.0,
43.0,,91.0,
46.0,,93.0,
47.0,,98.0,
50.0,,100.0,
52.0,,1.0,
54.0,,6.0,
55.0,,7.0,
57.0,,8.0,
58.0,,9.0,
60.0,,11.0,
61.0,,14.0,
62.0,,15.0,
63.0,,16.0,
65.0,,18.0,
68.0,,19.0,
70.0,,26.0,
71.0,,27.0,
72.0,,34.0,
75.0,,37.0,
76.0,,38.0,
77.0,,47.0,
80.0,,52.0,
82.0,,58.0,
86.0,,59.0,
88.0,,60.0,
90.0,,61.0,
92.0,,63.0,
94.0,,64.0,
95.0,,68.0,
96.0,,69.0,
97.0,,70.0,
99.0,,71.0,
0.0,,72.0,
2.0,,74.0,
3.0,,75.0,
4.0,,79.0,
5.0,,80.0,
10.0,,81.0,
12.0,,84.0,
13.0,,90.0,
17.0,,92.0,
20.0,,94.0,
21.0,,95.0,
22.0,,96.0,
23.0,,1.0,
24.0,,2.0,
25.0,,4.0,
28.0,,6.0,
29.0,,8.0,
30.0,,11.0,
31.0,,13.0,
32.0,,14.0,
33.0,,15.0,
35.0,,16.0,
36.0,,17.0,
39.0,,19.0,
40.0,,24.0,
41.0,,25.0,
42.0,,26.0,
43.0,,28.0,
44.0,,29.0,
45.0,,34.0,
46.0,,38.0,
48.0,,39.0,
49.0,,46.0,
50.0,,47.0,
51.0,,51.0,
53.0,,52.0,
54.0,,54.0,
55.0,,55.0,
56.0,,57.0,
57.0,,58.0,
62.0,,61.0,
65.0,,62.0,
66.0,,68.0,
67.0,,69.0,
73.0,,72.0,
76.0,,74.0,
77.0,,75.0,
78.0,,76.0,
82.0,,80.0,
83.0,,82.0,
85.0,,86.0,
86.0,,88.0,
87.0,,89.0,
88.0,,92.0,
89.0,,94.0,
91.0,,99.0,
93.0,,2.0,
97.0,,5.0,
98.0,,6.0,
99.0,,7.0,
100.0,,8.0,
0.0,,11.0,
3.0,,12.0,
5.0,,13.0,
7.0,,14.0,
9.0,,15.0,
10.0,,16.0,
12.0,,17.0,
18.0,,19.0,
20.0,,20.0,
21.0,,24.0,
22.0,,25.0,
23.0,,26.0,
27.0,,27.0,
30.0,,28.0,
31.0,,29.0,
32.0,,30.0,
33.0,,31.0,
35.0,,32.0,
36.0,,33.0,
37.0,,34.0,
40.0,,35.0,
41.0,,38.0,
42.0,,39.0,
43.0,,40.0,
44.0,,42.0,
45.0,,43.0,
48.0,,45.0,
49.0,,46.0,
50.0,,47.0,
53.0,,50.0,
56.0,,51.0,
59.0,,52.0,
60.0,,54.0,
63.0,,55.0,
64.0,,57.0,
65.0,,65.0,
66.0,,67.0,
67.0,,68.0,
70.0,,69.0,
71.0,,75.0,
73.0,,76.0,
77.0,,86.0,
78.0,,88.0,
79.0,,89.0,
81.0,,92.0,
83.0,,94.0,
84.0,,95.0,
85.0,,96.0,
87.0,,97.0,
90.0,,98.0,
91.0,,1.0,
93.0,,3.0,
95.0,,7.0,
96.0,,9.0,
97.0,,11.0,
98.0,,13.0,
100.0,,14.0,
3.0,,15.0,
37.0,,17.0,
49.0,,20.0,
70.0,,28.0,
71.0,,32.0,
77.0,,34.0,
0.0,,35.0,
2.0,,37.0,
4.0,,38.0,
5.0,,39.0,
6.0,,43.0,
8.0,,49.0,
10.0,,50.0,
12.0,,57.0,
16.0,,60.0,
18.0,,61.0,
19.0,,62.0,
21.0,,63.0,
22.0,,67.0,
23.0,,69.0,
24.0,,70.0,
25.0,,71.0,
26.0,,72.0,
27.0,,76.0,
29.0,,77.0,
30.0,,80.0,
31.0,,82.0,
33.0,,84.0,
36.0,,92.0,
40.0,,95.0,
41.0,,97.0,
42.0,,99.0,
44.0,,0.0,
45.0,,1.0,
46.0,,2.0,
47.0,,3.0,
48.0,,5.0,
51.0,,7.0,
52.0,,8.0,
53.0,,9.0,
54.0,,10.0,
55.0,,12.0,
56.0,,15.0,
58.0,,16.0,
59.0,,17.0,
