0,1,2,3,4,5,6,7,8,9
0.27044496,-0.3532548,0.13664858,-0.8244415,-0.0051675807,-0.12226873,-0.81945914,0.21445572,-0.009077842,-0.09743793
0.19959831,-0.3910678,0.1034512,-0.80992484,-0.00518211,-0.13138984,-0.7754582,0.28821033,-0.043697186,-0.120775
0.2041654,-0.3947463,0.1030655,-0.82006794,-0.0023674683,-0.12331418,-0.78646284,0.29384807,-0.05507092,-0.124482326
0.16257656,-0.40067884,0.10333038,-0.8306799,-0.0052086054,-0.12075141,-0.78849345,0.3165569,-0.095154926,-0.13884865
0.27733672,-0.3703079,0.12139217,-0.8091653,-0.009677612,-0.123185895,-0.78826964,0.25521544,-0.0125233745,-0.09334851
0.22370103,-0.38548204,0.10041522,-0.81745327,-0.007672971,-0.14263463,-0.7748442,0.28556594,-0.03499651,-0.13529609
0.1819516,-0.40327692,0.10065576,-0.8154698,-0.0063147224,-0.116797194,-0.7837358,0.31125253,-0.10848482,-0.121752545
0.14645025,-0.40339437,0.10148041,-0.8279431,-0.0043619424,-0.14909092,-0.7690402,0.34023464,-0.09178439,-0.15617162
0.19209804,-0.3968555,0.104390934,-0.80918354,-0.00575622,-0.13255194,-0.770313,0.30274674,-0.06137302,-0.12115694
0.24801666,-0.3686071,0.14400795,-0.83208346,-0.003371142,-0.11208637,-0.83841026,0.19931181,-0.00938867,-0.08387991
0.22551021,-0.33924037,0.18910258,-0.8451086,-0.0019036016,-0.101217575,-0.86889607,0.13958302,-0.008981574,-0.07283626
0.20351768,-0.39816004,0.10253909,-0.81378055,-0.0040665152,-0.12750433,-0.7743625,0.29944822,-0.054389365,-0.121279165
0.25816685,-0.3683768,0.12857892,-0.818713,-0.0062788404,-0.11394405,-0.8096019,0.23874281,-0.012251748,-0.09601526
0.15098777,-0.39433467,0.10456045,-0.83482355,-0.0017199559,-0.11132777,-0.7986704,0.32216984,-0.10314925,-0.13714476
0.19333024,-0.39357197,0.1030246,-0.8149241,-0.0060456344,-0.11456507,-0.7713369,0.32328022,-0.11129199,-0.12858465
0.16065177,-0.40147993,0.10182482,-0.8299321,-0.004030395,-0.13038108,-0.7878461,0.31444037,-0.08786319,-0.14572367
0.22292809,-0.38939798,0.10599139,-0.7942326,-0.0068240343,-0.12638034,-0.7690975,0.29053915,-0.03765918,-0.1074054
0.15304406,-0.3990722,0.10540354,-0.8134959,-0.005127198,-0.13423479,-0.7755244,0.32411665,-0.11198963,-0.13417517
0.26016304,-0.3359217,0.16601034,-0.84525394,-1.5890513e-05,-0.107741915,-0.8539325,0.17898479,-0.010335333,-0.09108939
0.24969144,-0.37608135,0.108598515,-0.81020266,-0.009811585,-0.11069087,-0.75941485,0.3173059,-0.051338322,-0.12721963
0.19260284,-0.4041496,0.1051461,-0.818302,-0.0035441495,-0.12462401,-0.7975331,0.2786706,-0.03816781,-0.106577486
0.24708691,-0.33949924,0.17316715,-0.84580463,-0.0006723056,-0.10416303,-0.8596168,0.1681487,-0.009660571,-0.08191209
0.2728357,-0.36112818,0.13233069,-0.8286696,-0.006178844,-0.1238,-0.81804115,0.21794207,-0.0076407366,-0.10012867
0.2315968,-0.33936554,0.18940759,-0.84761256,-0.0005930248,-0.09996332,-0.8719558,0.13846233,-0.009072224,-0.0701712
0.21235052,-0.3906877,0.10223288,-0.7985965,-0.008781066,-0.12858394,-0.76815015,0.29728797,-0.04356919,-0.1223093
0.21569842,-0.39043868,0.10345338,-0.810011,-0.008000974,-0.11258991,-0.76859844,0.31492677,-0.073455915,-0.12850553
0.17733963,-0.3950185,0.10238637,-0.8262476,-0.006263563,-0.126288,-0.77718896,0.32296237,-0.099841505,-0.15034734
0.27906215,-0.3629417,0.11804632,-0.8117767,-0.008775177,-0.11839988,-0.7817917,0.26565886,-0.016672973,-0.10398141
0.17572543,-0.38999984,0.106353134,-0.8306562,-0.0040329383,-0.11353936,-0.7756834,0.3275352,-0.10586407,-0.14676915
0.20060916,-0.38697207,0.105265275,-0.8189363,-0.008018607,-0.121308655,-0.76567996,0.32168368,-0.08210374,-0.14266656
0.22861667,-0.3890814,0.11183453,-0.80392957,-0.0069839517,-0.1321257,-0.785951,0.26458928,-0.020064509,-0.10740443
0.19218132,-0.40729934,0.104087405,-0.7976272,-0.0072350865,-0.13120687,-0.77688783,0.29344606,-0.04926067,-0.10884422
0.19815719,-0.4014094,0.099716835,-0.8094675,-0.0072574806,-0.14022061,-0.76873714,0.30145398,-0.059741102,-0.1298533
0.24522209,-0.37998626,0.115146264,-0.8144872,-0.008262564,-0.122931816,-0.7910813,0.2576179,-0.016540375,-0.11209298
0.13350704,-0.3895634,0.11201121,-0.8394106,-0.0033468928,-0.13147296,-0.77974325,0.3495462,-0.10929567,-0.16853376
0.23598841,-0.38543043,0.109380975,-0.804284,-0.005010174,-0.12366098,-0.77775425,0.28093532,-0.03169351,-0.104355626
0.23117858,-0.38139868,0.13187006,-0.82503664,-0.005106526,-0.12034643,-0.82653105,0.21284087,-0.009442374,-0.091229334
0.14418718,-0.38783395,0.112496495,-0.83148503,-0.0044294414,-0.10188894,-0.7924306,0.33970305,-0.12267483,-0.13669358
0.16592999,-0.38457143,0.103491046,-0.82336193,-0.005380525,-0.123234354,-0.7727424,0.32550704,-0.10811888,-0.15237409
0.1623963,-0.401384,0.103363514,-0.8185715,-0.0041105817,-0.12961291,-0.78277606,0.3129937,-0.09389302,-0.13646857
0.2774573,-0.36362442,0.11319637,-0.8109294,-0.00995,-0.11778646,-0.77114695,0.27947304,-0.02083767,-0.11639254
0.27378708,-0.35127842,0.1417611,-0.8304941,-0.0042270916,-0.12055566,-0.82806575,0.20367262,-0.0082382625,-0.09351343
0.28476217,-0.36599594,0.11953502,-0.8173824,-0.007991031,-0.12737724,-0.78558964,0.25360677,-0.012832243,-0.11069221
0.16549507,-0.40557998,0.10019772,-0.81704575,-0.0022692166,-0.13510796,-0.7833468,0.30021647,-0.08267572,-0.12803237
0.28257278,-0.3400049,0.14000604,-0.8315977,-0.0072960765,-0.13337217,-0.8211171,0.20370372,-0.0048788567,-0.11456862
0.2679853,-0.37231106,0.11565091,-0.8157778,-0.0071550575,-0.12014016,-0.789334,0.25701877,-0.016682558,-0.10778261
0.26165724,-0.36505038,0.106717035,-0.804939,-0.010718689,-0.12337095,-0.74649584,0.31161553,-0.04040501,-0.13343705
0.22248603,-0.3901521,0.10161485,-0.8035517,-0.007352593,-0.14250268,-0.76774275,0.2872306,-0.032917846,-0.12791102
0.24499792,-0.37262028,0.14008464,-0.83362174,-0.00035077293,-0.109434746,-0.8338309,0.20741902,-0.0126530025,-0.08597528
