0,1,2,3,4,5,6,7,8,9
0.017759291,-0.026409553,-0.017011285,-0.02968121,-0.010895551,0.0080242315,0.0392642,0.04178551,-0.065275244,-0.034828424
-0.050247308,0.0298382,-0.105875745,0.02300419,0.067265764,-0.10963014,0.009738438,0.021427285,-0.1122158,-0.15044184
-0.08395025,0.07686309,-0.18121095,0.069798,0.13911974,-0.18910818,0.019977946,0.012249415,-0.18373375,-0.28802672
-0.048687298,0.061132424,-0.1781276,0.060093254,0.14988151,-0.17247576,0.085911244,0.04223884,-0.28926498,-0.37185496
0.025464404,0.004119206,-0.10959924,-0.004558434,0.10963857,-0.09112378,0.16196807,0.091629654,-0.39483055,-0.38075322
0.041862227,-0.02077041,-0.043992165,-0.03582392,0.0918105,-0.07184249,0.16019706,0.08625385,-0.40555263,-0.3753258
0.017036855,-0.015392243,-0.0053492878,-0.020124646,0.097746015,-0.09531343,0.11804945,0.053172167,-0.35476533,-0.3884981
-0.034329467,0.020819139,-0.021628564,0.04242166,0.13609228,-0.15352641,0.048895694,-0.0021825149,-0.26374027,-0.43274137
-0.13663651,0.1180974,-0.15103713,0.16491884,0.24117278,-0.27910098,-0.08173623,-0.11476637,-0.12722445,-0.53943694
-0.08250053,0.094568945,-0.085018374,0.15400821,0.20050845,-0.18941417,-0.016238399,-0.056975193,-0.12728941,-0.5480406
-0.34549424,0.33014497,-0.40123713,0.36704075,0.44913587,-0.47361627,-0.36362043,-0.33551976,0.09188248,-0.7170407
-0.1412816,0.1612911,-0.14349082,0.23031464,0.24808472,-0.18544917,-0.09628592,-0.06752079,0.063371524,-0.67915624
-0.43742144,0.43029106,-0.49091637,0.4667484,0.5456199,-0.52270377,-0.48163706,-0.41625378,0.25283694,-0.80552626
-0.5169187,0.52645344,-0.588053,0.5580267,0.6209296,-0.596852,-0.563089,-0.49767298,0.44088292,-0.88374186
-0.39466578,0.41139746,-0.46406382,0.48804525,0.53323084,-0.44293267,-0.42115843,-0.31580412,0.50028694,-0.87371266
-0.44374257,0.45459718,-0.524898,0.53083277,0.59642065,-0.5022325,-0.47945037,-0.40795365,0.55142,-0.88693124
-0.3846465,0.40092593,-0.46322694,0.5000828,0.5485566,-0.43389562,-0.40958962,-0.33790427,0.5838067,-0.88169926
-0.46180543,0.4756263,-0.5457238,0.5603918,0.61663073,-0.5241987,-0.49614975,-0.45560688,0.62932295,-0.89950836
-0.48104647,0.4979942,-0.5611825,0.58109725,0.6240091,-0.5403191,-0.5086643,-0.4763817,0.6805045,-0.91033316
-0.4382911,0.4593928,-0.516829,0.55598104,0.5842899,-0.48896003,-0.44854173,-0.4115753,0.69857097,-0.9041786
-0.3934662,0.4176349,-0.47568804,0.5253865,0.54693717,-0.44581842,-0.39319998,-0.3591711,0.69382083,-0.8929725
-0.29986316,0.32366514,-0.38635135,0.45176464,0.4615414,-0.3452028,-0.27890477,-0.23811132,0.6549429,-0.86566323
