0,1,2,3,4,5,6,7,8
0.05042759,-0.05678958,-0.005950701,0.061567653,0.036062747,-0.02225982,-0.04779287,0.008688253,0.017458282
0.24062726,-0.22378005,-0.038917903,0.24841979,0.14768839,-0.09731063,-0.17755452,0.032097757,0.100265115
0.61490583,-0.48978043,-0.24664299,0.50796664,0.27938572,-0.36493945,-0.42014447,0.08684241,0.16809174
0.78801227,-0.6285659,-0.27401915,0.6821608,0.5026928,-0.45516053,-0.55779696,0.13800487,0.3690294
0.6989365,-0.5995987,0.059425723,0.72926545,0.68913287,-0.06669416,-0.4607295,0.0724342,0.61135757
0.7290919,-0.65943706,-0.33972195,0.7086227,0.7061945,-0.37005526,-0.5169928,-0.0056147096,0.46807885
0.70578545,-0.65308386,-0.33801186,0.6889063,0.7159274,-0.52976066,-0.5595927,-0.010812123,0.53263193
0.71549296,-0.67966634,-0.42328346,0.6792623,0.70556635,-0.62176335,-0.6181304,-0.0065960414,0.5036829
0.7028775,-0.6842185,-0.4421077,0.6713593,0.7018485,-0.6430517,-0.6449173,0.005557652,0.51023954
0.638307,-0.67159873,-0.38889265,0.66280544,0.7175787,-0.6087712,-0.6252675,0.007363884,0.55871934
0.40548694,-0.6144467,-0.12102617,0.6542697,0.7459407,-0.37894815,-0.5012838,-0.025005817,0.6577922
0.55171436,-0.6686467,-0.4161214,0.64454544,0.7276903,-0.58705384,-0.5567679,-0.04476823,0.54693073
0.5477839,-0.64953196,-0.31716016,0.6464384,0.7318439,-0.57975763,-0.5577013,-0.032666672,0.6069384
0.52269757,-0.6416849,-0.2696751,0.64901376,0.7388354,-0.52843964,-0.5357686,-0.0413865,0.6233988
0.5417336,-0.6459616,-0.31055677,0.6466068,0.737003,-0.5492415,-0.54092,-0.050860174,0.60494566
0.5075225,-0.6288559,-0.23915312,0.6473338,0.74215233,-0.5048482,-0.5177129,-0.061608385,0.62827104
0.47227007,-0.61297363,-0.17835726,0.65184706,0.7473846,-0.4379973,-0.48270947,-0.08784534,0.6411134
0.51257855,-0.6171828,-0.23301154,0.6557812,0.74514383,-0.47524628,-0.48797762,-0.110056624,0.6194343
0.72177666,-0.7051033,-0.57112765,0.6496058,0.65559536,-0.7154436,-0.67306495,-0.074987896,0.2946297
0.4625672,-0.5973209,-0.08767147,0.6691136,0.73910797,-0.4354787,-0.52192366,-0.058377884,0.657601
0.44590354,-0.6124849,-0.21254446,0.66283864,0.7463719,-0.41398996,-0.4784149,-0.09190139,0.6318648
0.49847916,-0.61740315,-0.2551881,0.65707004,0.7424779,-0.49243808,-0.49045795,-0.1017804,0.61429274
0.5789196,-0.63946605,-0.3326586,0.65679437,0.73494154,-0.57886934,-0.539466,-0.09465569,0.58111596
0.5309747,-0.61680466,-0.21188954,0.6583398,0.7437857,-0.5020541,-0.5150887,-0.09343832,0.6291661
0.48227754,-0.59995294,-0.15139562,0.66048366,0.74946547,-0.41481417,-0.47448167,-0.11701326,0.6409897
0.5414001,-0.6137227,-0.25934196,0.66041017,0.7437606,-0.49804428,-0.49528328,-0.130087,0.6015797
0.50703865,-0.5926115,-0.14476663,0.6650187,0.74877125,-0.43694615,-0.47290403,-0.14024912,0.6355249
0.5285861,-0.5955979,-0.1840728,0.6697792,0.7482051,-0.4448802,-0.4718202,-0.15723026,0.6195303
0.8268361,-0.75973254,-0.7135519,0.64684755,-0.031727552,-0.7753259,-0.81916875,-0.07040367,-0.46814984
0.66354924,-0.63652796,-0.45810467,0.71650314,0.63018554,-0.66659665,-0.7225061,0.015168632,0.42392963
0.71405554,-0.6913928,-0.6195359,0.6720495,0.5975483,-0.7384403,-0.77676904,0.0068642558,0.111417025
0.8578717,-0.76405996,-0.80003136,0.61758983,-0.39607763,-0.815742,-0.90392715,0.04450915,-0.6176789
0.48853308,-0.6078799,-0.5234513,0.6985509,0.59620976,-0.69432837,-0.80639756,0.082738414,0.18270953
0.53325254,-0.6545074,-0.61994916,0.6404702,0.60778266,-0.74794644,-0.8035694,0.01884066,-0.025080984
0.66999364,-0.68663037,-0.719989,0.5969204,0.33656493,-0.7869156,-0.8552623,0.002139915,-0.3395732
0.5382357,-0.64025486,-0.6114019,0.6238725,0.5780203,-0.75407326,-0.8089634,0.006382929,0.027936619
0.54456306,-0.65873176,-0.62340623,0.6174587,0.6126138,-0.7544975,-0.8001855,-0.009640595,0.03737906
0.56201243,-0.6657559,-0.6355822,0.61137027,0.61713904,-0.75585866,-0.79793537,-0.01633835,0.048487887
0.5446396,-0.66376644,-0.6153657,0.6144012,0.645271,-0.74729604,-0.7827565,-0.018687742,0.13631783
0.53297174,-0.666711,-0.60340285,0.6156856,0.66422516,-0.74072427,-0.77030927,-0.02158371,0.19561051
0.4218855,-0.6528169,-0.5145201,0.6222997,0.70984864,-0.70057493,-0.7141389,-0.02428644,0.40015414
0.51952213,-0.68432087,-0.6032229,0.60778326,0.6843298,-0.7355145,-0.74508846,-0.030232206,0.27908236
-0.16187184,-0.5351407,0.16961516,0.6369397,0.75177485,-0.120834015,-0.42006445,-0.05826786,0.6935947
0.38021103,-0.6787673,-0.5120363,0.64149696,0.7212912,-0.6035687,-0.51701397,-0.07668444,0.49052098
0.37825143,-0.628272,-0.19327211,0.6607876,0.7405731,-0.50182366,-0.48301235,-0.050427385,0.65635926
0.6491422,-0.71529883,-0.5400709,0.6569289,0.68722576,-0.6944415,-0.6379613,-0.033232704,0.4231422
0.7293045,-0.71357214,-0.5721812,0.65910923,0.633835,-0.7254163,-0.7123166,0.015185218,0.3710498
0.7384458,-0.7054102,-0.5853335,0.6553859,0.62231785,-0.7250791,-0.74662405,0.038953934,0.30894208
0.5326738,-0.65181345,-0.3757948,0.6520524,0.71760225,-0.6110424,-0.6544712,0.03199164,0.54813415
0.6153629,-0.6979659,-0.56848466,0.6213038,0.6800706,-0.71115494,-0.7169291,0.005063275,0.3344617
0.5038469,-0.6638735,-0.43989855,0.6256845,0.7141009,-0.66332674,-0.66133636,0.008071326,0.52302235
0.47774678,-0.6699938,-0.4296407,0.62285805,0.7225188,-0.6456731,-0.63353944,0.0026006778,0.5493925
0.36534804,-0.6412152,-0.26804703,0.62731045,0.73885775,-0.53178626,-0.54638016,-0.0032564476,0.6343784
0.60456073,-0.70932096,-0.5424903,0.6246485,0.69134694,-0.69528264,-0.65516895,-0.0003184844,0.4396901
0.3068902,-0.5999305,-0.030626599,0.645694,0.7449862,-0.35424176,-0.48100284,-0.011767029,0.6776292
0.44300306,-0.64446634,-0.30537248,0.6495803,0.7412036,-0.47642356,-0.4832118,-0.05670456,0.61417407
0.45440054,-0.6224177,-0.20207417,0.65158963,0.7449241,-0.46601012,-0.4779035,-0.07334048,0.640829
0.594917,-0.66361403,-0.39957073,0.6510147,0.72807467,-0.6124261,-0.56088483,-0.07422478,0.55004436
0.7268129,-0.7087682,-0.5639169,0.648897,0.6489309,-0.72266245,-0.69186896,-0.032602448,0.35505962
0.7385313,-0.6993084,-0.56311077,0.65658,0.63640267,-0.7200457,-0.7253313,0.010868202,0.3661317
0.6577676,-0.6770225,-0.49861467,0.6497378,0.687079,-0.682153,-0.7046721,0.021829663,0.44915882
0.63294834,-0.68535525,-0.54542774,0.6272386,0.6819992,-0.7060396,-0.72155046,0.009945985,0.3742559
0.62260234,-0.6863286,-0.5733012,0.6148232,0.66818696,-0.7243993,-0.73872876,0.003319581,0.32760614
0.63848287,-0.6901629,-0.6116858,0.607495,0.63917613,-0.7427763,-0.7659866,-0.00155765,0.22906151
0.4461307,-0.6502524,-0.44554406,0.61994195,0.71431667,-0.66988945,-0.68331885,-0.0037325048,0.4937138
0.099088706,-0.5966119,-0.116268955,0.6224427,0.747547,-0.39746696,-0.49772596,-0.025851484,0.662714
0.6573951,-0.75405985,-0.68453044,0.5993847,0.472092,-0.7548109,-0.77592623,-0.027151557,-0.14927454
0.45878786,-0.6395351,-0.34187785,0.6656724,0.7029016,-0.62926584,-0.63373196,0.013461838,0.56807685
0.58440584,-0.6943731,-0.5344205,0.64884,0.6938941,-0.6947685,-0.6835423,0.006719658,0.4284776
0.4573884,-0.65428436,-0.35600898,0.64428806,0.7279448,-0.6046192,-0.60823417,0.011111284,0.58919847
0.3259916,-0.629475,-0.20530258,0.6406878,0.7436413,-0.4576141,-0.5071334,-0.009445502,0.65115154
0.23752488,-0.6025593,-0.019466424,0.6591597,0.75378275,-0.21592018,-0.39523652,-0.072075576,0.68400294
0.5043025,-0.65694964,-0.35063973,0.66747403,0.73827845,-0.49809182,-0.47364587,-0.10682262,0.5841432
0.45616123,-0.60778815,-0.08122113,0.6769057,0.7505227,-0.37405637,-0.4485337,-0.12611245,0.6587352
0.29492557,-0.54279727,-0.0052279653,0.6480902,0.7614228,-0.2561122,-0.4033135,-0.21757063,0.65285516
0.1694533,-0.43420833,-0.05619072,0.58181614,0.7629404,-0.38758436,-0.40884113,-0.3118463,0.6015464
0.18216784,-0.39042637,-0.079572044,0.55136585,0.7589324,-0.538468,-0.4354263,-0.36634088,0.5705337
0.12130967,-0.3434083,0.0150273135,0.53065526,0.76267517,-0.54673696,-0.4325891,-0.41319564,0.5851897
0.15366524,-0.32490116,-0.012499627,0.52441496,0.7606819,-0.5775724,-0.4376066,-0.4441464,0.5587764
0.5759034,-0.5509209,-0.44494465,0.5972681,0.7120663,-0.7305292,-0.57917714,-0.35905135,0.34633338
0.40335262,-0.51173687,0.05179798,0.64925265,0.75123984,-0.43590662,-0.44658858,-0.32484332,0.6558058
0.45345557,-0.5388991,-0.08276231,0.67419076,0.7538824,-0.3617699,-0.41342148,-0.31011128,0.6257217
0.54282784,-0.56236553,-0.16528621,0.68386054,0.74765444,-0.4462709,-0.43799663,-0.28324115,0.5946808
0.41774982,-0.5080369,0.004145705,0.6630374,0.75829303,-0.3506512,-0.40943152,-0.3039267,0.6295296
0.30153945,-0.4282069,-0.018309094,0.6144839,0.7623417,-0.3934057,-0.4044204,-0.3553412,0.5942613
